### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8817]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8817 (seed = 40232) ...
  1/200   risk = 0.11  time = 0   
  5/200   risk = 0.086  time = 383   
 10/200   risk = 0.063  time = 771   
 15/200   risk = 0.048  time = 1138   
 20/200   risk = 0.039  time = 1500   
 25/200   risk = 0.033  time = 1862   
 30/200   risk = 0.029  time = 2225   
 35/200   risk = 0.027  time = 2578   
 40/200   risk = 0.025  time = 2958   
 45/200   risk = 0.024  time = 3341   
 50/200   risk = 0.024  time = 3737   
 55/200   risk = 0.023  time = 4210   
 60/200   risk = 0.023  time = 4605   
 65/200   risk = 0.022  time = 4991   
 70/200   risk = 0.022  time = 5392   
 75/200   risk = 0.022  time = 5776   
 80/200   risk = 0.022  time = 6161   
 85/200   risk = 0.022  time = 6569   
 90/200   risk = 0.022  time = 6973   
 95/200   risk = 0.022  time = 7370   
100/200   risk = 0.022  time = 7778   
105/200   risk = 0.021  time = 8204   
110/200   risk = 0.021  time = 8598   
115/200   risk = 0.021  time = 8988   
120/200   risk = 0.021  time = 9418   
125/200   risk = 0.021  time = 9838   
130/200   risk = 0.021  time = 10250   
135/200   risk = 0.021  time = 10661   
140/200   risk = 0.021  time = 11079   
145/200   risk = 0.021  time = 11505   
150/200   risk = 0.021  time = 11951   
155/200   risk = 0.021  time = 12369   
160/200   risk = 0.021  time = 12820   
165/200   risk = 0.021  time = 13256   
170/200   risk = 0.021  time = 13678   
175/200   risk = 0.021  time = 14133   
180/200   risk = 0.021  time = 14548   
185/200   risk = 0.021  time = 14981   
190/200   risk = 0.021  time = 15397   
195/200   risk = 0.021  time = 15810   
200/200   risk = 0.021  time = 16260   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=8817]
### [bt]: Calculation finished!
