### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9838]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9838 (seed = 41253) ...
  1/200   risk = 0.1  time = 0   
  5/200   risk = 0.079  time = 1505   
 10/200   risk = 0.059  time = 3316   
 15/200   risk = 0.046  time = 5070   
 20/200   risk = 0.037  time = 6802   
 25/200   risk = 0.032  time = 8541   
 30/200   risk = 0.028  time = 10271   
 35/200   risk = 0.026  time = 12008   
 40/200   risk = 0.024  time = 13749   
 45/200   risk = 0.023  time = 15504   
 50/200   risk = 0.023  time = 17257   
 55/200   risk = 0.022  time = 18942   
 60/200   risk = 0.022  time = 20615   
 65/200   risk = 0.022  time = 22283   
 70/200   risk = 0.021  time = 24019   
 75/200   risk = 0.021  time = 25765   
 80/200   risk = 0.021  time = 27491   
 85/200   risk = 0.021  time = 29250   
 90/200   risk = 0.021  time = 30913   
 95/200   risk = 0.021  time = 32591   
100/200   risk = 0.021  time = 34263   
105/200   risk = 0.021  time = 36151   
110/200   risk = 0.021  time = 37952   
115/200   risk = 0.021  time = 39703   
120/200   risk = 0.021  time = 41569   
125/200   risk = 0.021  time = 43324   
130/200   risk = 0.021  time = 45074   
135/200   risk = 0.021  time = 46806   
140/200   risk = 0.021  time = 48534   
145/200   risk = 0.021  time = 50354   
150/200   risk = 0.021  time = 52261   
155/200   risk = 0.021  time = 54062   
160/200   risk = 0.021  time = 55804   
165/200   risk = 0.021  time = 57549   
170/200   risk = 0.021  time = 59296   
175/200   risk = 0.021  time = 61028   
180/200   risk = 0.021  time = 62776   
185/200   risk = 0.021  time = 64513   
190/200   risk = 0.021  time = 66258   
195/200   risk = 0.021  time = 68000   
200/200   risk = 0.021  time = 69754   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=9838]
### [bt]: Calculation finished!
