### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8717]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8717 (seed = 40132) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 3373   
 10/200   risk = 0.082  time = 7373   
 15/200   risk = 0.06  time = 11635   
 20/200   risk = 0.046  time = 15685   
 25/200   risk = 0.038  time = 19875   
 30/200   risk = 0.032  time = 28052   
 35/200   risk = 0.029  time = 34148   
 40/200   risk = 0.027  time = 42132   
 45/200   risk = 0.025  time = 49376   
 50/200   risk = 0.024  time = 56710   
 55/200   risk = 0.024  time = 63603   
 60/200   risk = 0.023  time = 70536   
 65/200   risk = 0.023  time = 75813   
 70/200   risk = 0.023  time = 79991   
 75/200   risk = 0.022  time = 85992   
 80/200   risk = 0.022  time = 91348   
 85/200   risk = 0.022  time = 97403   
 90/200   risk = 0.022  time = 105376   
 95/200   risk = 0.022  time = 113138   
100/200   risk = 0.022  time = 120695   
105/200   risk = 0.022  time = 129171   
110/200   risk = 0.022  time = 136226   
115/200   risk = 0.022  time = 144779   
120/200   risk = 0.021  time = 152050   
125/200   risk = 0.021  time = 160371   
130/200   risk = 0.021  time = 168060   
135/200   risk = 0.021  time = 176470   
140/200   risk = 0.021  time = 184224   
145/200   risk = 0.021  time = 191637   
150/200   risk = 0.021  time = 197847   
155/200   risk = 0.021  time = 204595   
160/200   risk = 0.021  time = 211508   
165/200   risk = 0.021  time = 219136   
170/200   risk = 0.021  time = 225475   
175/200   risk = 0.021  time = 231358   
180/200   risk = 0.021  time = 238315   
185/200   risk = 0.021  time = 246541   
190/200   risk = 0.021  time = 253942   
195/200   risk = 0.021  time = 262042   
200/200   risk = 0.021  time = 268937   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=8717]
### [bt]: Calculation finished!
