### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7870]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7870 (seed = 39285) ...
  1/200   risk = 0.18  time = 0   
  5/200   risk = 0.13  time = 451   
 10/200   risk = 0.091  time = 909   
 15/200   risk = 0.066  time = 1293   
 20/200   risk = 0.051  time = 1838   
 25/200   risk = 0.041  time = 2226   
 30/200   risk = 0.034  time = 2608   
 35/200   risk = 0.03  time = 2997   
 40/200   risk = 0.027  time = 3391   
 45/200   risk = 0.025  time = 3773   
 50/200   risk = 0.024  time = 4171   
 55/200   risk = 0.023  time = 4565   
 60/200   risk = 0.022  time = 4986   
 65/200   risk = 0.022  time = 5878   
 70/200   risk = 0.022  time = 6301   
 75/200   risk = 0.021  time = 6720   
 80/200   risk = 0.021  time = 7142   
 85/200   risk = 0.021  time = 7560   
 90/200   risk = 0.021  time = 7969   
 95/200   risk = 0.021  time = 8540   
100/200   risk = 0.021  time = 8946   
105/200   risk = 0.021  time = 9370   
110/200   risk = 0.021  time = 9805   
115/200   risk = 0.021  time = 10218   
120/200   risk = 0.021  time = 10634   
125/200   risk = 0.021  time = 11035   
130/200   risk = 0.021  time = 11449   
135/200   risk = 0.021  time = 11880   
140/200   risk = 0.021  time = 12736   
145/200   risk = 0.021  time = 13152   
150/200   risk = 0.021  time = 13559   
155/200   risk = 0.021  time = 14008   
160/200   risk = 0.021  time = 14440   
165/200   risk = 0.021  time = 14891   
170/200   risk = 0.021  time = 15481   
175/200   risk = 0.021  time = 15909   
180/200   risk = 0.021  time = 16335   
185/200   risk = 0.021  time = 16758   
190/200   risk = 0.021  time = 17180   
195/200   risk = 0.021  time = 17604   
200/200   risk = 0.021  time = 18026   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=7870]
### [bt]: Calculation finished!
