### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6536]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6536 (seed = 37951) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 621   
 10/200   risk = 0.085  time = 1283   
 15/200   risk = 0.065  time = 1919   
 20/200   risk = 0.052  time = 2559   
 25/200   risk = 0.043  time = 3190   
 30/200   risk = 0.038  time = 3821   
 35/200   risk = 0.034  time = 4456   
 40/200   risk = 0.032  time = 5086   
 45/200   risk = 0.03  time = 5725   
 50/200   risk = 0.029  time = 6369   
 55/200   risk = 0.028  time = 7022   
 60/200   risk = 0.027  time = 7634   
 65/200   risk = 0.027  time = 8300   
 70/200   risk = 0.026  time = 8976   
 75/200   risk = 0.026  time = 9593   
 80/200   risk = 0.025  time = 10240   
 85/200   risk = 0.025  time = 10883   
 90/200   risk = 0.025  time = 11532   
 95/200   risk = 0.024  time = 12171   
100/200   risk = 0.024  time = 12791   
105/200   risk = 0.024  time = 13410   
110/200   risk = 0.024  time = 14033   
115/200   risk = 0.023  time = 14658   
120/200   risk = 0.023  time = 15308   
125/200   risk = 0.023  time = 16014   
130/200   risk = 0.023  time = 16651   
135/200   risk = 0.023  time = 17257   
140/200   risk = 0.023  time = 17866   
145/200   risk = 0.022  time = 18491   
150/200   risk = 0.022  time = 19131   
155/200   risk = 0.022  time = 19799   
160/200   risk = 0.022  time = 20468   
165/200   risk = 0.022  time = 21120   
170/200   risk = 0.022  time = 21783   
175/200   risk = 0.022  time = 22458   
180/200   risk = 0.022  time = 23121   
185/200   risk = 0.021  time = 23763   
190/200   risk = 0.021  time = 24431   
195/200   risk = 0.021  time = 25069   
200/200   risk = 0.021  time = 25724   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=6536]
### [bt]: Calculation finished!
