### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4683]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4683 (seed = 36098) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 485   
 10/200   risk = 0.085  time = 894   
 15/200   risk = 0.064  time = 1293   
 20/200   risk = 0.051  time = 1690   
 25/200   risk = 0.042  time = 2081   
 30/200   risk = 0.036  time = 2481   
 35/200   risk = 0.032  time = 2889   
 40/200   risk = 0.03  time = 3277   
 45/200   risk = 0.028  time = 3659   
 50/200   risk = 0.026  time = 4064   
 55/200   risk = 0.025  time = 4452   
 60/200   risk = 0.025  time = 4848   
 65/200   risk = 0.024  time = 5235   
 70/200   risk = 0.024  time = 5621   
 75/200   risk = 0.024  time = 6011   
 80/200   risk = 0.023  time = 6411   
 85/200   risk = 0.023  time = 6808   
 90/200   risk = 0.023  time = 7231   
 95/200   risk = 0.023  time = 7629   
100/200   risk = 0.023  time = 8000   
105/200   risk = 0.023  time = 8380   
110/200   risk = 0.022  time = 8785   
115/200   risk = 0.022  time = 9174   
120/200   risk = 0.022  time = 9575   
125/200   risk = 0.022  time = 9972   
130/200   risk = 0.022  time = 10351   
135/200   risk = 0.022  time = 10758   
140/200   risk = 0.022  time = 11156   
145/200   risk = 0.022  time = 11550   
150/200   risk = 0.022  time = 11951   
155/200   risk = 0.022  time = 12351   
160/200   risk = 0.022  time = 12779   
165/200   risk = 0.022  time = 13207   
170/200   risk = 0.022  time = 13629   
175/200   risk = 0.022  time = 14077   
180/200   risk = 0.022  time = 14483   
185/200   risk = 0.021  time = 14885   
190/200   risk = 0.021  time = 15281   
195/200   risk = 0.021  time = 15686   
200/200   risk = 0.021  time = 16083   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=4683]
### [bt]: Calculation finished!
