### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5368]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5368 (seed = 36783) ...
  1/200   risk = 0.073  time = 0   
  5/200   risk = 0.058  time = 208   
 10/200   risk = 0.046  time = 326   
 15/200   risk = 0.038  time = 428   
 20/200   risk = 0.033  time = 533   
 25/200   risk = 0.029  time = 633   
 30/200   risk = 0.027  time = 733   
 35/200   risk = 0.025  time = 1283   
 40/200   risk = 0.024  time = 1390   
 45/200   risk = 0.023  time = 1492   
 50/200   risk = 0.023  time = 1598   
 55/200   risk = 0.022  time = 1703   
 60/200   risk = 0.022  time = 1809   
 65/200   risk = 0.022  time = 1922   
 70/200   risk = 0.022  time = 2038   
 75/200   risk = 0.021  time = 2164   
 80/200   risk = 0.021  time = 2286   
 85/200   risk = 0.021  time = 2398   
 90/200   risk = 0.021  time = 2512   
 95/200   risk = 0.021  time = 2630   
100/200   risk = 0.021  time = 2747   
105/200   risk = 0.021  time = 2865   
110/200   risk = 0.021  time = 2983   
115/200   risk = 0.021  time = 3101   
120/200   risk = 0.021  time = 3228   
125/200   risk = 0.021  time = 3351   
130/200   risk = 0.021  time = 3476   
135/200   risk = 0.021  time = 3602   
140/200   risk = 0.021  time = 3742   
145/200   risk = 0.021  time = 3866   
150/200   risk = 0.021  time = 4150   
155/200   risk = 0.021  time = 4275   
160/200   risk = 0.021  time = 4401   
165/200   risk = 0.021  time = 4528   
170/200   risk = 0.02  time = 4654   
175/200   risk = 0.02  time = 4778   
180/200   risk = 0.02  time = 4906   
185/200   risk = 0.02  time = 5036   
190/200   risk = 0.02  time = 5168   
195/200   risk = 0.02  time = 5300   
200/200   risk = 0.02  time = 5448   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=5368]
### [bt]: Calculation finished!
