### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12067]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12067 (seed = 43482) ...
  1/200   risk = 0.23  time = 0   
  5/200   risk = 0.16  time = 117   
 10/200   risk = 0.11  time = 188   
 15/200   risk = 0.075  time = 241   
 20/200   risk = 0.055  time = 294   
 25/200   risk = 0.042  time = 345   
 30/200   risk = 0.034  time = 398   
 35/200   risk = 0.03  time = 451   
 40/200   risk = 0.026  time = 508   
 45/200   risk = 0.025  time = 561   
 50/200   risk = 0.023  time = 616   
 55/200   risk = 0.023  time = 673   
 60/200   risk = 0.022  time = 735   
 65/200   risk = 0.022  time = 794   
 70/200   risk = 0.021  time = 853   
 75/200   risk = 0.021  time = 912   
 80/200   risk = 0.021  time = 971   
 85/200   risk = 0.021  time = 1031   
 90/200   risk = 0.021  time = 1093   
 95/200   risk = 0.021  time = 1156   
100/200   risk = 0.021  time = 1219   
105/200   risk = 0.021  time = 1282   
110/200   risk = 0.021  time = 1345   
115/200   risk = 0.021  time = 1431   
120/200   risk = 0.021  time = 1514   
125/200   risk = 0.021  time = 1595   
130/200   risk = 0.021  time = 1688   
135/200   risk = 0.021  time = 1770   
140/200   risk = 0.021  time = 1849   
145/200   risk = 0.021  time = 1941   
150/200   risk = 0.021  time = 2014   
155/200   risk = 0.021  time = 2083   
160/200   risk = 0.021  time = 2152   
165/200   risk = 0.021  time = 2221   
170/200   risk = 0.021  time = 2291   
175/200   risk = 0.021  time = 2363   
180/200   risk = 0.021  time = 2434   
185/200   risk = 0.021  time = 2519   
190/200   risk = 0.021  time = 2590   
195/200   risk = 0.021  time = 2661   
200/200   risk = 0.021  time = 2734   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=12067]
### [bt]: Calculation finished!
