### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1819]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1819 (seed = 33234) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 2687   
 10/200   risk = 0.19  time = 5771   
 15/200   risk = 0.16  time = 8862   
 20/200   risk = 0.14  time = 11904   
 25/200   risk = 0.13  time = 14933   
 30/200   risk = 0.11  time = 17981   
 35/200   risk = 0.1  time = 21022   
 40/200   risk = 0.095  time = 24056   
 45/200   risk = 0.089  time = 27113   
 50/200   risk = 0.084  time = 30154   
 55/200   risk = 0.08  time = 33206   
 60/200   risk = 0.076  time = 36334   
 65/200   risk = 0.074  time = 39389   
 70/200   risk = 0.071  time = 42429   
 75/200   risk = 0.07  time = 45462   
 80/200   risk = 0.068  time = 48503   
 85/200   risk = 0.067  time = 51578   
 90/200   risk = 0.065  time = 54643   
 95/200   risk = 0.064  time = 57766   
100/200   risk = 0.064  time = 60894   
105/200   risk = 0.063  time = 63966   
110/200   risk = 0.062  time = 67006   
115/200   risk = 0.061  time = 70159   
120/200   risk = 0.061  time = 73465   
125/200   risk = 0.06  time = 76601   
130/200   risk = 0.06  time = 79802   
135/200   risk = 0.059  time = 82914   
140/200   risk = 0.059  time = 86082   
145/200   risk = 0.059  time = 89415   
150/200   risk = 0.058  time = 92688   
155/200   risk = 0.058  time = 95870   
160/200   risk = 0.057  time = 99103   
165/200   risk = 0.057  time = 102260   
170/200   risk = 0.057  time = 105385   
175/200   risk = 0.057  time = 108464   
180/200   risk = 0.056  time = 111533   
185/200   risk = 0.056  time = 114716   
190/200   risk = 0.056  time = 117820   
195/200   risk = 0.055  time = 120995   
200/200   risk = 0.055  time = 124080   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.055


### [bt]: Job terminated successfully [batchtools job.id=1819]
### [bt]: Calculation finished!
