### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8734]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8734 (seed = 40149) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.12  time = 3289   
 10/200   risk = 0.084  time = 7600   
 15/200   risk = 0.062  time = 11665   
 20/200   risk = 0.048  time = 15067   
 25/200   risk = 0.039  time = 18828   
 30/200   risk = 0.033  time = 25730   
 35/200   risk = 0.03  time = 32157   
 40/200   risk = 0.027  time = 38550   
 45/200   risk = 0.026  time = 44949   
 50/200   risk = 0.025  time = 51496   
 55/200   risk = 0.024  time = 58200   
 60/200   risk = 0.024  time = 65082   
 65/200   risk = 0.023  time = 72175   
 70/200   risk = 0.023  time = 78958   
 75/200   risk = 0.023  time = 85449   
 80/200   risk = 0.023  time = 91893   
 85/200   risk = 0.023  time = 98340   
 90/200   risk = 0.022  time = 104954   
 95/200   risk = 0.022  time = 111675   
100/200   risk = 0.022  time = 118220   
105/200   risk = 0.022  time = 124912   
110/200   risk = 0.022  time = 131291   
115/200   risk = 0.022  time = 137477   
120/200   risk = 0.022  time = 143693   
125/200   risk = 0.022  time = 153963   
130/200   risk = 0.022  time = 160235   
135/200   risk = 0.022  time = 166112   
140/200   risk = 0.022  time = 172056   
145/200   risk = 0.022  time = 178293   
150/200   risk = 0.022  time = 184292   
155/200   risk = 0.021  time = 190183   
160/200   risk = 0.021  time = 196084   
165/200   risk = 0.021  time = 202013   
170/200   risk = 0.021  time = 208066   
175/200   risk = 0.021  time = 214138   
180/200   risk = 0.021  time = 219943   
185/200   risk = 0.021  time = 225547   
190/200   risk = 0.021  time = 231059   
195/200   risk = 0.021  time = 236900   
200/200   risk = 0.021  time = 242808   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=8734]
### [bt]: Calculation finished!
