### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=427]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 427 (seed = 31842) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.23  time = 174   
 10/200   risk = 0.17  time = 343   
 15/200   risk = 0.13  time = 496   
 20/200   risk = 0.11  time = 658   
 25/200   risk = 0.089  time = 814   
 30/200   risk = 0.077  time = 968   
 35/200   risk = 0.068  time = 1122   
 40/200   risk = 0.062  time = 1277   
 45/200   risk = 0.058  time = 1432   
 50/200   risk = 0.055  time = 1588   
 55/200   risk = 0.052  time = 1744   
 60/200   risk = 0.051  time = 1903   
 65/200   risk = 0.049  time = 2065   
 70/200   risk = 0.048  time = 2239   
 75/200   risk = 0.047  time = 2396   
 80/200   risk = 0.046  time = 2553   
 85/200   risk = 0.046  time = 2710   
 90/200   risk = 0.045  time = 2868   
 95/200   risk = 0.044  time = 3028   
100/200   risk = 0.044  time = 3187   
105/200   risk = 0.043  time = 3347   
110/200   risk = 0.043  time = 3506   
115/200   risk = 0.043  time = 3666   
120/200   risk = 0.042  time = 3826   
125/200   risk = 0.042  time = 3992   
130/200   risk = 0.042  time = 4159   
135/200   risk = 0.041  time = 4325   
140/200   risk = 0.041  time = 4491   
145/200   risk = 0.041  time = 4657   
150/200   risk = 0.041  time = 4866   
155/200   risk = 0.04  time = 5037   
160/200   risk = 0.04  time = 5205   
165/200   risk = 0.04  time = 5383   
170/200   risk = 0.04  time = 5547   
175/200   risk = 0.04  time = 5712   
180/200   risk = 0.039  time = 5877   
185/200   risk = 0.039  time = 6045   
190/200   risk = 0.039  time = 6212   
195/200   risk = 0.039  time = 6382   
200/200   risk = 0.039  time = 6554   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.039


### [bt]: Job terminated successfully [batchtools job.id=427]
### [bt]: Calculation finished!
