### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7520]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7520 (seed = 38935) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.14  time = 2993   
 10/200   risk = 0.099  time = 6603   
 15/200   risk = 0.072  time = 10168   
 20/200   risk = 0.054  time = 13690   
 25/200   risk = 0.044  time = 17177   
 30/200   risk = 0.037  time = 20642   
 35/200   risk = 0.032  time = 24140   
 40/200   risk = 0.029  time = 27613   
 45/200   risk = 0.027  time = 31115   
 50/200   risk = 0.025  time = 34649   
 55/200   risk = 0.024  time = 38257   
 60/200   risk = 0.024  time = 41813   
 65/200   risk = 0.023  time = 45363   
 70/200   risk = 0.023  time = 49110   
 75/200   risk = 0.022  time = 52633   
 80/200   risk = 0.022  time = 56171   
 85/200   risk = 0.022  time = 59764   
 90/200   risk = 0.022  time = 63458   
 95/200   risk = 0.022  time = 67168   
100/200   risk = 0.021  time = 70842   
105/200   risk = 0.021  time = 74575   
110/200   risk = 0.021  time = 78299   
115/200   risk = 0.021  time = 82067   
120/200   risk = 0.021  time = 85852   
125/200   risk = 0.021  time = 89612   
130/200   risk = 0.021  time = 93561   
135/200   risk = 0.021  time = 97258   
140/200   risk = 0.021  time = 100949   
145/200   risk = 0.021  time = 104685   
150/200   risk = 0.021  time = 108425   
155/200   risk = 0.021  time = 112115   
160/200   risk = 0.021  time = 115901   
165/200   risk = 0.021  time = 119572   
170/200   risk = 0.021  time = 123425   
175/200   risk = 0.021  time = 127218   
180/200   risk = 0.021  time = 130913   
185/200   risk = 0.021  time = 134561   
190/200   risk = 0.02  time = 138308   
195/200   risk = 0.02  time = 142147   
200/200   risk = 0.02  time = 145911   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=7520]
### [bt]: Calculation finished!
