### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5150]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5150 (seed = 36565) ...
  1/200   risk = 0.12  time = 0   
  5/200   risk = 0.088  time = 2457   
 10/200   risk = 0.065  time = 5379   
 15/200   risk = 0.05  time = 8316   
 20/200   risk = 0.041  time = 11166   
 25/200   risk = 0.035  time = 14013   
 30/200   risk = 0.031  time = 16862   
 35/200   risk = 0.028  time = 19717   
 40/200   risk = 0.026  time = 22573   
 45/200   risk = 0.025  time = 25419   
 50/200   risk = 0.024  time = 28261   
 55/200   risk = 0.023  time = 31113   
 60/200   risk = 0.023  time = 33963   
 65/200   risk = 0.023  time = 36813   
 70/200   risk = 0.022  time = 39667   
 75/200   risk = 0.022  time = 42525   
 80/200   risk = 0.022  time = 45393   
 85/200   risk = 0.022  time = 48251   
 90/200   risk = 0.022  time = 51110   
 95/200   risk = 0.022  time = 54001   
100/200   risk = 0.021  time = 56872   
105/200   risk = 0.021  time = 59745   
110/200   risk = 0.021  time = 62620   
115/200   risk = 0.021  time = 65415   
120/200   risk = 0.021  time = 68184   
125/200   risk = 0.021  time = 70956   
130/200   risk = 0.021  time = 73787   
135/200   risk = 0.021  time = 76580   
140/200   risk = 0.021  time = 79376   
145/200   risk = 0.021  time = 82165   
150/200   risk = 0.021  time = 84961   
155/200   risk = 0.021  time = 87769   
160/200   risk = 0.021  time = 90531   
165/200   risk = 0.021  time = 93332   
170/200   risk = 0.021  time = 96110   
175/200   risk = 0.021  time = 98872   
180/200   risk = 0.021  time = 101631   
185/200   risk = 0.021  time = 104410   
190/200   risk = 0.021  time = 107175   
195/200   risk = 0.021  time = 109977   
200/200   risk = 0.021  time = 112753   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=5150]
### [bt]: Calculation finished!
