### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10860]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10860 (seed = 42275) ...
  1/200   risk = 0.11  time = 0   
  5/200   risk = 0.082  time = 104   
 10/200   risk = 0.059  time = 169   
 15/200   risk = 0.045  time = 223   
 20/200   risk = 0.036  time = 278   
 25/200   risk = 0.031  time = 332   
 30/200   risk = 0.027  time = 387   
 35/200   risk = 0.025  time = 442   
 40/200   risk = 0.024  time = 502   
 45/200   risk = 0.023  time = 559   
 50/200   risk = 0.022  time = 616   
 55/200   risk = 0.022  time = 681   
 60/200   risk = 0.022  time = 749   
 65/200   risk = 0.021  time = 815   
 70/200   risk = 0.021  time = 880   
 75/200   risk = 0.021  time = 942   
 80/200   risk = 0.021  time = 1007   
 85/200   risk = 0.021  time = 1071   
 90/200   risk = 0.021  time = 1145   
 95/200   risk = 0.021  time = 1215   
100/200   risk = 0.021  time = 1279   
105/200   risk = 0.021  time = 1348   
110/200   risk = 0.02  time = 1415   
115/200   risk = 0.02  time = 1483   
120/200   risk = 0.02  time = 1571   
125/200   risk = 0.02  time = 1643   
130/200   risk = 0.02  time = 1719   
135/200   risk = 0.02  time = 1789   
140/200   risk = 0.02  time = 1859   
145/200   risk = 0.02  time = 1929   
150/200   risk = 0.02  time = 2005   
155/200   risk = 0.02  time = 2077   
160/200   risk = 0.02  time = 2149   
165/200   risk = 0.02  time = 2225   
170/200   risk = 0.02  time = 2300   
175/200   risk = 0.02  time = 2374   
180/200   risk = 0.02  time = 2448   
185/200   risk = 0.02  time = 2529   
190/200   risk = 0.02  time = 2606   
195/200   risk = 0.02  time = 2688   
200/200   risk = 0.02  time = 2773   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=10860]
### [bt]: Calculation finished!
