### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9890]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9890 (seed = 41305) ...
  1/200   risk = 0.1  time = 0   
  5/200   risk = 0.079  time = 470   
 10/200   risk = 0.059  time = 829   
 15/200   risk = 0.045  time = 1264   
 20/200   risk = 0.037  time = 1709   
 25/200   risk = 0.031  time = 2067   
 30/200   risk = 0.028  time = 2424   
 35/200   risk = 0.025  time = 2742   
 40/200   risk = 0.024  time = 3059   
 45/200   risk = 0.023  time = 3371   
 50/200   risk = 0.022  time = 3703   
 55/200   risk = 0.022  time = 4030   
 60/200   risk = 0.022  time = 4346   
 65/200   risk = 0.021  time = 4696   
 70/200   risk = 0.021  time = 5065   
 75/200   risk = 0.021  time = 5431   
 80/200   risk = 0.021  time = 5766   
 85/200   risk = 0.021  time = 6083   
 90/200   risk = 0.021  time = 6442   
 95/200   risk = 0.021  time = 6807   
100/200   risk = 0.021  time = 7167   
105/200   risk = 0.021  time = 7493   
110/200   risk = 0.021  time = 7852   
115/200   risk = 0.021  time = 8228   
120/200   risk = 0.021  time = 8557   
125/200   risk = 0.021  time = 8883   
130/200   risk = 0.021  time = 9240   
135/200   risk = 0.021  time = 9561   
140/200   risk = 0.021  time = 9925   
145/200   risk = 0.021  time = 10290   
150/200   risk = 0.021  time = 10626   
155/200   risk = 0.021  time = 10953   
160/200   risk = 0.021  time = 11299   
165/200   risk = 0.021  time = 11641   
170/200   risk = 0.021  time = 11981   
175/200   risk = 0.021  time = 12316   
180/200   risk = 0.021  time = 12655   
185/200   risk = 0.021  time = 12996   
190/200   risk = 0.021  time = 13339   
195/200   risk = 0.021  time = 13702   
200/200   risk = 0.021  time = 14031   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=9890]
### [bt]: Calculation finished!
