### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4222]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4222 (seed = 35637) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.15  time = 2403   
 10/200   risk = 0.11  time = 5304   
 15/200   risk = 0.082  time = 8177   
 20/200   risk = 0.065  time = 11057   
 25/200   risk = 0.053  time = 13944   
 30/200   risk = 0.046  time = 16836   
 35/200   risk = 0.04  time = 19071   
 40/200   risk = 0.037  time = 20998   
 45/200   risk = 0.034  time = 22779   
 50/200   risk = 0.032  time = 25213   
 55/200   risk = 0.031  time = 26961   
 60/200   risk = 0.03  time = 28600   
 65/200   risk = 0.029  time = 30252   
 70/200   risk = 0.028  time = 31900   
 75/200   risk = 0.028  time = 33520   
 80/200   risk = 0.027  time = 35126   
 85/200   risk = 0.027  time = 36731   
 90/200   risk = 0.026  time = 38337   
 95/200   risk = 0.026  time = 39936   
100/200   risk = 0.026  time = 41531   
105/200   risk = 0.026  time = 43153   
110/200   risk = 0.025  time = 44853   
115/200   risk = 0.025  time = 46446   
120/200   risk = 0.025  time = 48032   
125/200   risk = 0.025  time = 49667   
130/200   risk = 0.025  time = 51321   
135/200   risk = 0.025  time = 53000   
140/200   risk = 0.024  time = 54658   
145/200   risk = 0.024  time = 56190   
150/200   risk = 0.024  time = 57782   
155/200   risk = 0.024  time = 59375   
160/200   risk = 0.024  time = 60970   
165/200   risk = 0.024  time = 62554   
170/200   risk = 0.024  time = 64095   
175/200   risk = 0.024  time = 65610   
180/200   risk = 0.024  time = 67084   
185/200   risk = 0.024  time = 68576   
190/200   risk = 0.024  time = 70068   
195/200   risk = 0.024  time = 71582   
200/200   risk = 0.024  time = 73129   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.024


### [bt]: Job terminated successfully [batchtools job.id=4222]
### [bt]: Calculation finished!
