### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12061]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12061 (seed = 43476) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.14  time = 185   
 10/200   risk = 0.095  time = 299   
 15/200   risk = 0.068  time = 407   
 20/200   risk = 0.051  time = 527   
 25/200   risk = 0.04  time = 636   
 30/200   risk = 0.034  time = 744   
 35/200   risk = 0.03  time = 842   
 40/200   risk = 0.027  time = 941   
 45/200   risk = 0.026  time = 1046   
 50/200   risk = 0.025  time = 1152   
 55/200   risk = 0.024  time = 1260   
 60/200   risk = 0.024  time = 1371   
 65/200   risk = 0.023  time = 1500   
 70/200   risk = 0.023  time = 1623   
 75/200   risk = 0.023  time = 1747   
 80/200   risk = 0.023  time = 1872   
 85/200   risk = 0.023  time = 1997   
 90/200   risk = 0.023  time = 2124   
 95/200   risk = 0.023  time = 2251   
100/200   risk = 0.023  time = 2380   
105/200   risk = 0.023  time = 2525   
110/200   risk = 0.023  time = 2663   
115/200   risk = 0.023  time = 2798   
120/200   risk = 0.023  time = 2934   
125/200   risk = 0.023  time = 3066   
130/200   risk = 0.023  time = 3202   
135/200   risk = 0.022  time = 3341   
140/200   risk = 0.022  time = 3481   
145/200   risk = 0.022  time = 3624   
150/200   risk = 0.022  time = 3784   
155/200   risk = 0.022  time = 3930   
160/200   risk = 0.022  time = 4090   
165/200   risk = 0.022  time = 4241   
170/200   risk = 0.022  time = 4393   
175/200   risk = 0.022  time = 4548   
180/200   risk = 0.022  time = 4700   
185/200   risk = 0.022  time = 4856   
190/200   risk = 0.022  time = 5012   
195/200   risk = 0.022  time = 5178   
200/200   risk = 0.022  time = 5319   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=12061]
### [bt]: Calculation finished!
