### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13144]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13144 (seed = 44559) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 2793   
 10/200   risk = 0.08  time = 6181   
 15/200   risk = 0.057  time = 9557   
 20/200   risk = 0.043  time = 12918   
 25/200   risk = 0.035  time = 16189   
 30/200   risk = 0.029  time = 19460   
 35/200   risk = 0.026  time = 22853   
 40/200   risk = 0.024  time = 26219   
 45/200   risk = 0.023  time = 29476   
 50/200   risk = 0.022  time = 32711   
 55/200   risk = 0.022  time = 36070   
 60/200   risk = 0.021  time = 39460   
 65/200   risk = 0.021  time = 42798   
 70/200   risk = 0.021  time = 46129   
 75/200   risk = 0.021  time = 49414   
 80/200   risk = 0.021  time = 52728   
 85/200   risk = 0.021  time = 56052   
 90/200   risk = 0.021  time = 59332   
 95/200   risk = 0.021  time = 62598   
100/200   risk = 0.021  time = 65874   
105/200   risk = 0.021  time = 69143   
110/200   risk = 0.021  time = 72491   
115/200   risk = 0.02  time = 75874   
120/200   risk = 0.02  time = 79460   
125/200   risk = 0.02  time = 82926   
130/200   risk = 0.02  time = 86422   
135/200   risk = 0.02  time = 89897   
140/200   risk = 0.02  time = 93397   
145/200   risk = 0.02  time = 96958   
150/200   risk = 0.02  time = 100479   
155/200   risk = 0.02  time = 103927   
160/200   risk = 0.02  time = 107474   
165/200   risk = 0.02  time = 110951   
170/200   risk = 0.02  time = 114410   
175/200   risk = 0.02  time = 117843   
180/200   risk = 0.02  time = 121408   
185/200   risk = 0.02  time = 124973   
190/200   risk = 0.02  time = 128610   
195/200   risk = 0.02  time = 131995   
200/200   risk = 0.02  time = 135446   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=13144]
### [bt]: Calculation finished!
