### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7627]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7627 (seed = 39042) ...
  1/200   risk = 0.18  time = 0   
  5/200   risk = 0.13  time = 331   
 10/200   risk = 0.092  time = 694   
 15/200   risk = 0.068  time = 1044   
 20/200   risk = 0.052  time = 1367   
 25/200   risk = 0.042  time = 1690   
 30/200   risk = 0.035  time = 2020   
 35/200   risk = 0.031  time = 2348   
 40/200   risk = 0.028  time = 2697   
 45/200   risk = 0.026  time = 3043   
 50/200   risk = 0.024  time = 3395   
 55/200   risk = 0.023  time = 3753   
 60/200   risk = 0.023  time = 4136   
 65/200   risk = 0.022  time = 4493   
 70/200   risk = 0.022  time = 4866   
 75/200   risk = 0.021  time = 5233   
 80/200   risk = 0.021  time = 5594   
 85/200   risk = 0.021  time = 5977   
 90/200   risk = 0.021  time = 6331   
 95/200   risk = 0.021  time = 6678   
100/200   risk = 0.021  time = 7032   
105/200   risk = 0.021  time = 7392   
110/200   risk = 0.021  time = 7759   
115/200   risk = 0.021  time = 8110   
120/200   risk = 0.021  time = 8482   
125/200   risk = 0.021  time = 8829   
130/200   risk = 0.021  time = 9184   
135/200   risk = 0.021  time = 9593   
140/200   risk = 0.021  time = 9955   
145/200   risk = 0.021  time = 10325   
150/200   risk = 0.021  time = 10719   
155/200   risk = 0.02  time = 11090   
160/200   risk = 0.02  time = 11466   
165/200   risk = 0.02  time = 11838   
170/200   risk = 0.02  time = 12219   
175/200   risk = 0.02  time = 12594   
180/200   risk = 0.02  time = 12974   
185/200   risk = 0.02  time = 13344   
190/200   risk = 0.02  time = 13746   
195/200   risk = 0.02  time = 14156   
200/200   risk = 0.02  time = 14558   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=7627]
### [bt]: Calculation finished!
