### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1671]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1671 (seed = 33086) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.24  time = 134   
 10/200   risk = 0.21  time = 228   
 15/200   risk = 0.19  time = 303   
 20/200   risk = 0.17  time = 376   
 25/200   risk = 0.16  time = 451   
 30/200   risk = 0.15  time = 525   
 35/200   risk = 0.14  time = 601   
 40/200   risk = 0.14  time = 678   
 45/200   risk = 0.14  time = 755   
 50/200   risk = 0.13  time = 832   
 55/200   risk = 0.13  time = 911   
 60/200   risk = 0.13  time = 992   
 65/200   risk = 0.12  time = 1078   
 70/200   risk = 0.12  time = 1163   
 75/200   risk = 0.12  time = 1249   
 80/200   risk = 0.12  time = 1333   
 85/200   risk = 0.12  time = 1418   
 90/200   risk = 0.12  time = 1506   
 95/200   risk = 0.12  time = 1594   
100/200   risk = 0.12  time = 1691   
105/200   risk = 0.12  time = 1783   
110/200   risk = 0.12  time = 1877   
115/200   risk = 0.11  time = 1969   
120/200   risk = 0.11  time = 2063   
125/200   risk = 0.11  time = 2156   
130/200   risk = 0.11  time = 2255   
135/200   risk = 0.11  time = 2354   
140/200   risk = 0.11  time = 2453   
145/200   risk = 0.11  time = 2553   
150/200   risk = 0.11  time = 2654   
155/200   risk = 0.11  time = 2755   
160/200   risk = 0.11  time = 2938   
165/200   risk = 0.11  time = 3098   
170/200   risk = 0.11  time = 3221   
175/200   risk = 0.11  time = 3329   
180/200   risk = 0.11  time = 3435   
185/200   risk = 0.11  time = 3541   
190/200   risk = 0.11  time = 3651   
195/200   risk = 0.11  time = 3765   
200/200   risk = 0.11  time = 3877   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.11


### [bt]: Job terminated successfully [batchtools job.id=1671]
### [bt]: Calculation finished!
