### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1265]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1265 (seed = 32680) ...
  1/200   risk = 0.26  time = 0   
  5/200   risk = 0.22  time = 192   
 10/200   risk = 0.18  time = 344   
 15/200   risk = 0.15  time = 464   
 20/200   risk = 0.13  time = 582   
 25/200   risk = 0.11  time = 698   
 30/200   risk = 0.1  time = 814   
 35/200   risk = 0.092  time = 926   
 40/200   risk = 0.086  time = 1048   
 45/200   risk = 0.081  time = 1170   
 50/200   risk = 0.077  time = 1285   
 55/200   risk = 0.074  time = 1400   
 60/200   risk = 0.072  time = 1523   
 65/200   risk = 0.07  time = 1658   
 70/200   risk = 0.068  time = 1781   
 75/200   risk = 0.066  time = 1904   
 80/200   risk = 0.065  time = 2032   
 85/200   risk = 0.064  time = 2158   
 90/200   risk = 0.063  time = 2290   
 95/200   risk = 0.062  time = 2419   
100/200   risk = 0.061  time = 2559   
105/200   risk = 0.061  time = 2695   
110/200   risk = 0.06  time = 2829   
115/200   risk = 0.06  time = 2959   
120/200   risk = 0.059  time = 3095   
125/200   risk = 0.059  time = 3234   
130/200   risk = 0.058  time = 3377   
135/200   risk = 0.058  time = 3518   
140/200   risk = 0.057  time = 3669   
145/200   risk = 0.057  time = 3801   
150/200   risk = 0.057  time = 3937   
155/200   risk = 0.056  time = 4074   
160/200   risk = 0.056  time = 4209   
165/200   risk = 0.056  time = 4345   
170/200   risk = 0.055  time = 4488   
175/200   risk = 0.055  time = 4644   
180/200   risk = 0.055  time = 4792   
185/200   risk = 0.055  time = 4944   
190/200   risk = 0.055  time = 5096   
195/200   risk = 0.054  time = 5248   
200/200   risk = 0.054  time = 5403   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.054


### [bt]: Job terminated successfully [batchtools job.id=1265]
### [bt]: Calculation finished!
