### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3381]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3381 (seed = 34796) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.25  time = 267   
 10/200   risk = 0.21  time = 448   
 15/200   risk = 0.18  time = 617   
 20/200   risk = 0.16  time = 790   
 25/200   risk = 0.15  time = 998   
 30/200   risk = 0.14  time = 1179   
 35/200   risk = 0.13  time = 1357   
 40/200   risk = 0.13  time = 1534   
 45/200   risk = 0.12  time = 1711   
 50/200   risk = 0.12  time = 1885   
 55/200   risk = 0.12  time = 2063   
 60/200   risk = 0.12  time = 2249   
 65/200   risk = 0.12  time = 2429   
 70/200   risk = 0.12  time = 2608   
 75/200   risk = 0.11  time = 2787   
 80/200   risk = 0.11  time = 2966   
 85/200   risk = 0.11  time = 3148   
 90/200   risk = 0.11  time = 3335   
 95/200   risk = 0.11  time = 3521   
100/200   risk = 0.11  time = 3708   
105/200   risk = 0.11  time = 3899   
110/200   risk = 0.11  time = 4094   
115/200   risk = 0.11  time = 4283   
120/200   risk = 0.11  time = 4490   
125/200   risk = 0.11  time = 4776   
130/200   risk = 0.11  time = 5013   
135/200   risk = 0.11  time = 5206   
140/200   risk = 0.11  time = 5400   
145/200   risk = 0.11  time = 5620   
150/200   risk = 0.11  time = 5821   
155/200   risk = 0.11  time = 6020   
160/200   risk = 0.11  time = 6222   
165/200   risk = 0.11  time = 6425   
170/200   risk = 0.11  time = 6624   
175/200   risk = 0.11  time = 6827   
180/200   risk = 0.11  time = 7031   
185/200   risk = 0.11  time = 7217   
190/200   risk = 0.11  time = 7419   
195/200   risk = 0.11  time = 7636   
200/200   risk = 0.11  time = 7862   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.11


### [bt]: Job terminated successfully [batchtools job.id=3381]
### [bt]: Calculation finished!
