### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=556]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 556 (seed = 31971) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 203   
 10/200   risk = 0.18  time = 357   
 15/200   risk = 0.15  time = 481   
 20/200   risk = 0.13  time = 609   
 25/200   risk = 0.12  time = 729   
 30/200   risk = 0.11  time = 857   
 35/200   risk = 0.098  time = 984   
 40/200   risk = 0.092  time = 1109   
 45/200   risk = 0.088  time = 1236   
 50/200   risk = 0.085  time = 1377   
 55/200   risk = 0.083  time = 1505   
 60/200   risk = 0.081  time = 1632   
 65/200   risk = 0.079  time = 1760   
 70/200   risk = 0.078  time = 1892   
 75/200   risk = 0.077  time = 2023   
 80/200   risk = 0.076  time = 2157   
 85/200   risk = 0.075  time = 2318   
 90/200   risk = 0.075  time = 2453   
 95/200   risk = 0.074  time = 2594   
100/200   risk = 0.074  time = 2730   
105/200   risk = 0.073  time = 2871   
110/200   risk = 0.073  time = 3008   
115/200   risk = 0.072  time = 3142   
120/200   risk = 0.072  time = 3282   
125/200   risk = 0.072  time = 3417   
130/200   risk = 0.071  time = 3567   
135/200   risk = 0.071  time = 3708   
140/200   risk = 0.071  time = 3852   
145/200   risk = 0.07  time = 3997   
150/200   risk = 0.07  time = 4150   
155/200   risk = 0.07  time = 4294   
160/200   risk = 0.07  time = 4446   
165/200   risk = 0.069  time = 4597   
170/200   risk = 0.069  time = 4760   
175/200   risk = 0.069  time = 4914   
180/200   risk = 0.069  time = 5066   
185/200   risk = 0.069  time = 5222   
190/200   risk = 0.068  time = 5389   
195/200   risk = 0.068  time = 5579   
200/200   risk = 0.068  time = 5756   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.068


### [bt]: Job terminated successfully [batchtools job.id=556]
### [bt]: Calculation finished!
