### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4314]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4314 (seed = 35729) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.15  time = 2885   
 10/200   risk = 0.11  time = 6855   
 15/200   risk = 0.08  time = 10511   
 20/200   risk = 0.063  time = 14985   
 25/200   risk = 0.052  time = 18099   
 30/200   risk = 0.044  time = 21725   
 35/200   risk = 0.039  time = 25386   
 40/200   risk = 0.035  time = 29409   
 45/200   risk = 0.033  time = 32912   
 50/200   risk = 0.031  time = 36271   
 55/200   risk = 0.03  time = 40618   
 60/200   risk = 0.029  time = 44635   
 65/200   risk = 0.028  time = 48261   
 70/200   risk = 0.027  time = 51677   
 75/200   risk = 0.027  time = 55767   
 80/200   risk = 0.026  time = 59886   
 85/200   risk = 0.026  time = 63705   
 90/200   risk = 0.025  time = 67265   
 95/200   risk = 0.025  time = 71230   
100/200   risk = 0.025  time = 75427   
105/200   risk = 0.025  time = 79801   
110/200   risk = 0.024  time = 83249   
115/200   risk = 0.024  time = 87754   
120/200   risk = 0.024  time = 94545   
125/200   risk = 0.024  time = 100131   
130/200   risk = 0.024  time = 106978   
135/200   risk = 0.024  time = 113651   
140/200   risk = 0.024  time = 121238   
145/200   risk = 0.023  time = 129194   
150/200   risk = 0.023  time = 135582   
155/200   risk = 0.023  time = 143633   
160/200   risk = 0.023  time = 150056   
165/200   risk = 0.023  time = 155801   
170/200   risk = 0.023  time = 166284   
175/200   risk = 0.023  time = 176523   
180/200   risk = 0.023  time = 186582   
185/200   risk = 0.023  time = 196272   
190/200   risk = 0.023  time = 203835   
195/200   risk = 0.023  time = 211363   
200/200   risk = 0.023  time = 218480   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=4314]
### [bt]: Calculation finished!
