### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8285]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8285 (seed = 39700) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.2  time = 356   
 10/200   risk = 0.13  time = 690   
 15/200   risk = 0.092  time = 996   
 20/200   risk = 0.066  time = 1293   
 25/200   risk = 0.05  time = 1591   
 30/200   risk = 0.04  time = 1885   
 35/200   risk = 0.033  time = 2181   
 40/200   risk = 0.029  time = 2537   
 45/200   risk = 0.027  time = 2858   
 50/200   risk = 0.025  time = 3163   
 55/200   risk = 0.024  time = 3476   
 60/200   risk = 0.023  time = 3861   
 65/200   risk = 0.023  time = 4259   
 70/200   risk = 0.022  time = 4620   
 75/200   risk = 0.022  time = 4978   
 80/200   risk = 0.022  time = 5362   
 85/200   risk = 0.022  time = 5666   
 90/200   risk = 0.022  time = 5962   
 95/200   risk = 0.021  time = 6256   
100/200   risk = 0.021  time = 6566   
105/200   risk = 0.021  time = 6854   
110/200   risk = 0.021  time = 7141   
115/200   risk = 0.021  time = 7433   
120/200   risk = 0.021  time = 7731   
125/200   risk = 0.021  time = 8025   
130/200   risk = 0.021  time = 8328   
135/200   risk = 0.021  time = 8618   
140/200   risk = 0.021  time = 8909   
145/200   risk = 0.021  time = 9226   
150/200   risk = 0.021  time = 9524   
155/200   risk = 0.021  time = 9807   
160/200   risk = 0.021  time = 10100   
165/200   risk = 0.021  time = 10393   
170/200   risk = 0.021  time = 10703   
175/200   risk = 0.021  time = 11016   
180/200   risk = 0.021  time = 11319   
185/200   risk = 0.02  time = 11632   
190/200   risk = 0.02  time = 11922   
195/200   risk = 0.02  time = 12212   
200/200   risk = 0.02  time = 12534   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=8285]
### [bt]: Calculation finished!
