### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2599]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2599 (seed = 34014) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 186   
 10/200   risk = 0.19  time = 323   
 15/200   risk = 0.17  time = 455   
 20/200   risk = 0.15  time = 588   
 25/200   risk = 0.13  time = 707   
 30/200   risk = 0.12  time = 838   
 35/200   risk = 0.11  time = 957   
 40/200   risk = 0.1  time = 1065   
 45/200   risk = 0.099  time = 1172   
 50/200   risk = 0.095  time = 1283   
 55/200   risk = 0.092  time = 1398   
 60/200   risk = 0.089  time = 1523   
 65/200   risk = 0.086  time = 1632   
 70/200   risk = 0.084  time = 1739   
 75/200   risk = 0.083  time = 1846   
 80/200   risk = 0.081  time = 1954   
 85/200   risk = 0.08  time = 2064   
 90/200   risk = 0.079  time = 2175   
 95/200   risk = 0.078  time = 2294   
100/200   risk = 0.077  time = 2445   
105/200   risk = 0.076  time = 2581   
110/200   risk = 0.075  time = 2729   
115/200   risk = 0.075  time = 2894   
120/200   risk = 0.074  time = 3032   
125/200   risk = 0.073  time = 3165   
130/200   risk = 0.073  time = 3322   
135/200   risk = 0.072  time = 3485   
140/200   risk = 0.072  time = 3647   
145/200   risk = 0.071  time = 3768   
150/200   risk = 0.071  time = 3884   
155/200   risk = 0.071  time = 4002   
160/200   risk = 0.07  time = 4121   
165/200   risk = 0.07  time = 4241   
170/200   risk = 0.07  time = 4366   
175/200   risk = 0.069  time = 4506   
180/200   risk = 0.069  time = 4637   
185/200   risk = 0.069  time = 4768   
190/200   risk = 0.068  time = 4897   
195/200   risk = 0.068  time = 5026   
200/200   risk = 0.068  time = 5159   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.068


### [bt]: Job terminated successfully [batchtools job.id=2599]
### [bt]: Calculation finished!
