### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4228]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4228 (seed = 35643) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.15  time = 1439   
 10/200   risk = 0.11  time = 3175   
 15/200   risk = 0.082  time = 4889   
 20/200   risk = 0.064  time = 6616   
 25/200   risk = 0.053  time = 8270   
 30/200   risk = 0.045  time = 9915   
 35/200   risk = 0.04  time = 11579   
 40/200   risk = 0.036  time = 13232   
 45/200   risk = 0.034  time = 14985   
 50/200   risk = 0.032  time = 16739   
 55/200   risk = 0.03  time = 18522   
 60/200   risk = 0.029  time = 20248   
 65/200   risk = 0.028  time = 21975   
 70/200   risk = 0.027  time = 23699   
 75/200   risk = 0.027  time = 25357   
 80/200   risk = 0.026  time = 27014   
 85/200   risk = 0.026  time = 28673   
 90/200   risk = 0.026  time = 30438   
 95/200   risk = 0.025  time = 32193   
100/200   risk = 0.025  time = 33983   
105/200   risk = 0.025  time = 35750   
110/200   risk = 0.025  time = 37460   
115/200   risk = 0.024  time = 39889   
120/200   risk = 0.024  time = 41916   
125/200   risk = 0.024  time = 43653   
130/200   risk = 0.024  time = 45356   
135/200   risk = 0.024  time = 47269   
140/200   risk = 0.024  time = 49017   
145/200   risk = 0.023  time = 51147   
150/200   risk = 0.023  time = 52932   
155/200   risk = 0.023  time = 54670   
160/200   risk = 0.023  time = 56429   
165/200   risk = 0.023  time = 58229   
170/200   risk = 0.023  time = 60060   
175/200   risk = 0.023  time = 62004   
180/200   risk = 0.023  time = 64007   
185/200   risk = 0.023  time = 66165   
190/200   risk = 0.023  time = 68088   
195/200   risk = 0.023  time = 70104   
200/200   risk = 0.023  time = 72028   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=4228]
### [bt]: Calculation finished!
