### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8429]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8429 (seed = 39844) ...
  1/200   risk = 0.15  time = 0   
  5/200   risk = 0.11  time = 266   
 10/200   risk = 0.08  time = 506   
 15/200   risk = 0.059  time = 723   
 20/200   risk = 0.047  time = 947   
 25/200   risk = 0.039  time = 1175   
 30/200   risk = 0.034  time = 1391   
 35/200   risk = 0.03  time = 1610   
 40/200   risk = 0.028  time = 1827   
 45/200   risk = 0.027  time = 2052   
 50/200   risk = 0.026  time = 2276   
 55/200   risk = 0.026  time = 2508   
 60/200   risk = 0.025  time = 2728   
 65/200   risk = 0.025  time = 2958   
 70/200   risk = 0.025  time = 3177   
 75/200   risk = 0.025  time = 3414   
 80/200   risk = 0.024  time = 3634   
 85/200   risk = 0.024  time = 3853   
 90/200   risk = 0.024  time = 4097   
 95/200   risk = 0.024  time = 4330   
100/200   risk = 0.024  time = 4579   
105/200   risk = 0.024  time = 4869   
110/200   risk = 0.024  time = 5114   
115/200   risk = 0.024  time = 5347   
120/200   risk = 0.024  time = 5584   
125/200   risk = 0.024  time = 5828   
130/200   risk = 0.024  time = 6061   
135/200   risk = 0.024  time = 6314   
140/200   risk = 0.024  time = 6558   
145/200   risk = 0.024  time = 6830   
150/200   risk = 0.024  time = 7079   
155/200   risk = 0.024  time = 7310   
160/200   risk = 0.024  time = 7541   
165/200   risk = 0.024  time = 7778   
170/200   risk = 0.023  time = 8047   
175/200   risk = 0.023  time = 8278   
180/200   risk = 0.023  time = 8516   
185/200   risk = 0.023  time = 8752   
190/200   risk = 0.023  time = 8986   
195/200   risk = 0.023  time = 9219   
200/200   risk = 0.023  time = 9454   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=8429]
### [bt]: Calculation finished!
