### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1526]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1526 (seed = 32941) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 6557   
 10/200   risk = 0.18  time = 14656   
 15/200   risk = 0.15  time = 22292   
 20/200   risk = 0.13  time = 31739   
 25/200   risk = 0.11  time = 40038   
 30/200   risk = 0.098  time = 48703   
 35/200   risk = 0.089  time = 56147   
 40/200   risk = 0.082  time = 63541   
 45/200   risk = 0.077  time = 71125   
 50/200   risk = 0.073  time = 78513   
 55/200   risk = 0.069  time = 84880   
 60/200   risk = 0.067  time = 91046   
 65/200   risk = 0.064  time = 97120   
 70/200   risk = 0.062  time = 103064   
 75/200   risk = 0.061  time = 107234   
 80/200   risk = 0.059  time = 110776   
 85/200   risk = 0.058  time = 114233   
 90/200   risk = 0.057  time = 117683   
 95/200   risk = 0.056  time = 121123   
100/200   risk = 0.055  time = 124557   
105/200   risk = 0.054  time = 127896   
110/200   risk = 0.054  time = 131301   
115/200   risk = 0.053  time = 134591   
120/200   risk = 0.052  time = 137949   
125/200   risk = 0.052  time = 141317   
130/200   risk = 0.051  time = 144545   
135/200   risk = 0.051  time = 147909   
140/200   risk = 0.05  time = 151124   
145/200   risk = 0.05  time = 154331   
150/200   risk = 0.049  time = 157541   
155/200   risk = 0.049  time = 160804   
160/200   risk = 0.049  time = 164195   
165/200   risk = 0.048  time = 167536   
170/200   risk = 0.048  time = 170758   
175/200   risk = 0.048  time = 173982   
180/200   risk = 0.048  time = 177228   
185/200   risk = 0.047  time = 180529   
190/200   risk = 0.047  time = 183787   
195/200   risk = 0.047  time = 186997   
200/200   risk = 0.047  time = 190222   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.047


### [bt]: Job terminated successfully [batchtools job.id=1526]
### [bt]: Calculation finished!
