### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3642]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3642 (seed = 35057) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.21  time = 277   
 10/200   risk = 0.15  time = 508   
 15/200   risk = 0.11  time = 735   
 20/200   risk = 0.085  time = 949   
 25/200   risk = 0.068  time = 1157   
 30/200   risk = 0.057  time = 1365   
 35/200   risk = 0.05  time = 1574   
 40/200   risk = 0.044  time = 1791   
 45/200   risk = 0.04  time = 2009   
 50/200   risk = 0.038  time = 2222   
 55/200   risk = 0.035  time = 2443   
 60/200   risk = 0.034  time = 2665   
 65/200   risk = 0.032  time = 2892   
 70/200   risk = 0.031  time = 3137   
 75/200   risk = 0.03  time = 3362   
 80/200   risk = 0.029  time = 3581   
 85/200   risk = 0.029  time = 3800   
 90/200   risk = 0.028  time = 4032   
 95/200   risk = 0.027  time = 4254   
100/200   risk = 0.027  time = 4476   
105/200   risk = 0.026  time = 4700   
110/200   risk = 0.026  time = 5039   
115/200   risk = 0.026  time = 5376   
120/200   risk = 0.025  time = 5719   
125/200   risk = 0.025  time = 6067   
130/200   risk = 0.025  time = 6449   
135/200   risk = 0.025  time = 6798   
140/200   risk = 0.024  time = 7179   
145/200   risk = 0.024  time = 7526   
150/200   risk = 0.024  time = 7880   
155/200   risk = 0.024  time = 8259   
160/200   risk = 0.023  time = 8631   
165/200   risk = 0.023  time = 9002   
170/200   risk = 0.023  time = 9375   
175/200   risk = 0.023  time = 9739   
180/200   risk = 0.023  time = 10099   
185/200   risk = 0.023  time = 10463   
190/200   risk = 0.022  time = 10855   
195/200   risk = 0.022  time = 11240   
200/200   risk = 0.022  time = 11631   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=3642]
### [bt]: Calculation finished!
