### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7644]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7644 (seed = 39059) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.13  time = 229   
 10/200   risk = 0.091  time = 422   
 15/200   risk = 0.067  time = 616   
 20/200   risk = 0.051  time = 812   
 25/200   risk = 0.041  time = 1006   
 30/200   risk = 0.034  time = 1200   
 35/200   risk = 0.029  time = 1397   
 40/200   risk = 0.026  time = 1595   
 45/200   risk = 0.024  time = 1793   
 50/200   risk = 0.023  time = 1993   
 55/200   risk = 0.022  time = 2191   
 60/200   risk = 0.021  time = 2388   
 65/200   risk = 0.021  time = 2590   
 70/200   risk = 0.02  time = 2853   
 75/200   risk = 0.02  time = 3096   
 80/200   risk = 0.02  time = 3340   
 85/200   risk = 0.02  time = 3546   
 90/200   risk = 0.02  time = 3748   
 95/200   risk = 0.019  time = 3954   
100/200   risk = 0.019  time = 4160   
105/200   risk = 0.019  time = 4369   
110/200   risk = 0.019  time = 4578   
115/200   risk = 0.019  time = 4789   
120/200   risk = 0.019  time = 5001   
125/200   risk = 0.019  time = 5212   
130/200   risk = 0.019  time = 5428   
135/200   risk = 0.019  time = 5642   
140/200   risk = 0.019  time = 5855   
145/200   risk = 0.019  time = 6068   
150/200   risk = 0.019  time = 6310   
155/200   risk = 0.019  time = 6529   
160/200   risk = 0.019  time = 6743   
165/200   risk = 0.019  time = 6959   
170/200   risk = 0.019  time = 7178   
175/200   risk = 0.019  time = 7397   
180/200   risk = 0.019  time = 7617   
185/200   risk = 0.019  time = 7839   
190/200   risk = 0.019  time = 8060   
195/200   risk = 0.019  time = 8287   
200/200   risk = 0.019  time = 8512   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.019


### [bt]: Job terminated successfully [batchtools job.id=7644]
### [bt]: Calculation finished!
