### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11625]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11625 (seed = 43040) ...
  1/200   risk = 0.07  time = 0   
  5/200   risk = 0.054  time = 289   
 10/200   risk = 0.041  time = 493   
 15/200   risk = 0.033  time = 681   
 20/200   risk = 0.028  time = 875   
 25/200   risk = 0.024  time = 1064   
 30/200   risk = 0.022  time = 1252   
 35/200   risk = 0.021  time = 1445   
 40/200   risk = 0.02  time = 1636   
 45/200   risk = 0.019  time = 1831   
 50/200   risk = 0.019  time = 2028   
 55/200   risk = 0.019  time = 2227   
 60/200   risk = 0.019  time = 2427   
 65/200   risk = 0.019  time = 2642   
 70/200   risk = 0.019  time = 2845   
 75/200   risk = 0.019  time = 3051   
 80/200   risk = 0.019  time = 3254   
 85/200   risk = 0.019  time = 3480   
 90/200   risk = 0.019  time = 3692   
 95/200   risk = 0.019  time = 3920   
100/200   risk = 0.019  time = 4133   
105/200   risk = 0.019  time = 4346   
110/200   risk = 0.019  time = 4558   
115/200   risk = 0.018  time = 4780   
120/200   risk = 0.018  time = 5004   
125/200   risk = 0.018  time = 5230   
130/200   risk = 0.018  time = 5456   
135/200   risk = 0.018  time = 5679   
140/200   risk = 0.018  time = 5900   
145/200   risk = 0.018  time = 6129   
150/200   risk = 0.018  time = 6456   
155/200   risk = 0.018  time = 6687   
160/200   risk = 0.018  time = 6921   
165/200   risk = 0.018  time = 7141   
170/200   risk = 0.018  time = 7361   
175/200   risk = 0.018  time = 7579   
180/200   risk = 0.018  time = 7845   
185/200   risk = 0.018  time = 8133   
190/200   risk = 0.018  time = 8362   
195/200   risk = 0.018  time = 8585   
200/200   risk = 0.018  time = 8813   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.018


### [bt]: Job terminated successfully [batchtools job.id=11625]
### [bt]: Calculation finished!
