### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5177]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5177 (seed = 36592) ...
  1/200   risk = 0.11  time = 0   
  5/200   risk = 0.085  time = 4763   
 10/200   risk = 0.064  time = 8949   
 15/200   risk = 0.05  time = 12695   
 20/200   risk = 0.041  time = 16467   
 25/200   risk = 0.035  time = 30688   
 30/200   risk = 0.031  time = 34507   
 35/200   risk = 0.028  time = 37899   
 40/200   risk = 0.026  time = 41384   
 45/200   risk = 0.025  time = 45035   
 50/200   risk = 0.024  time = 48854   
 55/200   risk = 0.024  time = 52526   
 60/200   risk = 0.023  time = 63863   
 65/200   risk = 0.023  time = 66585   
 70/200   risk = 0.023  time = 75204   
 75/200   risk = 0.022  time = 78081   
 80/200   risk = 0.022  time = 80868   
 85/200   risk = 0.022  time = 83603   
 90/200   risk = 0.022  time = 86266   
 95/200   risk = 0.022  time = 88915   
100/200   risk = 0.022  time = 106410   
105/200   risk = 0.022  time = 109326   
110/200   risk = 0.021  time = 111907   
115/200   risk = 0.021  time = 114781   
120/200   risk = 0.021  time = 124010   
125/200   risk = 0.021  time = 126778   
130/200   risk = 0.021  time = 134917   
135/200   risk = 0.021  time = 139781   
140/200   risk = 0.021  time = 142699   
145/200   risk = 0.021  time = 145890   
150/200   risk = 0.021  time = 150904   
155/200   risk = 0.021  time = 156939   
160/200   risk = 0.021  time = 166148   
165/200   risk = 0.021  time = 171151   
170/200   risk = 0.021  time = 175822   
175/200   risk = 0.021  time = 180549   
180/200   risk = 0.021  time = 185602   
185/200   risk = 0.021  time = 191908   
190/200   risk = 0.021  time = 197468   
195/200   risk = 0.021  time = 203091   
200/200   risk = 0.021  time = 208827   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=5177]
### [bt]: Calculation finished!
