### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10471]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10471 (seed = 41886) ...
  1/200   risk = 0.22  time = 0   
  5/200   risk = 0.16  time = 127   
 10/200   risk = 0.1  time = 198   
 15/200   risk = 0.073  time = 271   
 20/200   risk = 0.054  time = 339   
 25/200   risk = 0.043  time = 403   
 30/200   risk = 0.035  time = 465   
 35/200   risk = 0.031  time = 561   
 40/200   risk = 0.028  time = 633   
 45/200   risk = 0.027  time = 699   
 50/200   risk = 0.026  time = 765   
 55/200   risk = 0.025  time = 831   
 60/200   risk = 0.024  time = 903   
 65/200   risk = 0.024  time = 975   
 70/200   risk = 0.024  time = 1047   
 75/200   risk = 0.024  time = 1117   
 80/200   risk = 0.024  time = 1195   
 85/200   risk = 0.024  time = 1291   
 90/200   risk = 0.024  time = 1367   
 95/200   risk = 0.023  time = 1447   
100/200   risk = 0.023  time = 1528   
105/200   risk = 0.023  time = 1608   
110/200   risk = 0.023  time = 1704   
115/200   risk = 0.023  time = 1785   
120/200   risk = 0.023  time = 1866   
125/200   risk = 0.023  time = 1947   
130/200   risk = 0.023  time = 2042   
135/200   risk = 0.023  time = 2133   
140/200   risk = 0.023  time = 2217   
145/200   risk = 0.023  time = 2299   
150/200   risk = 0.023  time = 2382   
155/200   risk = 0.023  time = 2466   
160/200   risk = 0.023  time = 2551   
165/200   risk = 0.023  time = 2643   
170/200   risk = 0.023  time = 2730   
175/200   risk = 0.023  time = 2817   
180/200   risk = 0.023  time = 2909   
185/200   risk = 0.023  time = 2998   
190/200   risk = 0.023  time = 3100   
195/200   risk = 0.023  time = 3193   
200/200   risk = 0.023  time = 3285   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=10471]
### [bt]: Calculation finished!
