### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3474]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3474 (seed = 34889) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.25  time = 397   
 10/200   risk = 0.22  time = 711   
 15/200   risk = 0.2  time = 1020   
 20/200   risk = 0.18  time = 1331   
 25/200   risk = 0.17  time = 1644   
 30/200   risk = 0.16  time = 1966   
 35/200   risk = 0.15  time = 2268   
 40/200   risk = 0.15  time = 2570   
 45/200   risk = 0.14  time = 2872   
 50/200   risk = 0.14  time = 3176   
 55/200   risk = 0.14  time = 3479   
 60/200   risk = 0.13  time = 3796   
 65/200   risk = 0.13  time = 4106   
 70/200   risk = 0.13  time = 4418   
 75/200   risk = 0.13  time = 4729   
 80/200   risk = 0.13  time = 5039   
 85/200   risk = 0.13  time = 5352   
 90/200   risk = 0.13  time = 5665   
 95/200   risk = 0.13  time = 5978   
100/200   risk = 0.12  time = 6292   
105/200   risk = 0.12  time = 6616   
110/200   risk = 0.12  time = 6959   
115/200   risk = 0.12  time = 7272   
120/200   risk = 0.12  time = 7582   
125/200   risk = 0.12  time = 7914   
130/200   risk = 0.12  time = 8240   
135/200   risk = 0.12  time = 8563   
140/200   risk = 0.12  time = 8887   
145/200   risk = 0.12  time = 9211   
150/200   risk = 0.12  time = 9535   
155/200   risk = 0.12  time = 9861   
160/200   risk = 0.12  time = 10190   
165/200   risk = 0.12  time = 10527   
170/200   risk = 0.12  time = 10858   
175/200   risk = 0.12  time = 11188   
180/200   risk = 0.12  time = 11519   
185/200   risk = 0.12  time = 11853   
190/200   risk = 0.12  time = 12185   
195/200   risk = 0.12  time = 12520   
200/200   risk = 0.12  time = 12881   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.12


### [bt]: Job terminated successfully [batchtools job.id=3474]
### [bt]: Calculation finished!
