### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10968]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10968 (seed = 42383) ...
  1/200   risk = 0.12  time = 0   
  5/200   risk = 0.086  time = 166   
 10/200   risk = 0.062  time = 269   
 15/200   risk = 0.047  time = 364   
 20/200   risk = 0.038  time = 464   
 25/200   risk = 0.032  time = 564   
 30/200   risk = 0.028  time = 677   
 35/200   risk = 0.026  time = 785   
 40/200   risk = 0.024  time = 885   
 45/200   risk = 0.023  time = 991   
 50/200   risk = 0.023  time = 1091   
 55/200   risk = 0.022  time = 1194   
 60/200   risk = 0.022  time = 1303   
 65/200   risk = 0.022  time = 1411   
 70/200   risk = 0.021  time = 1523   
 75/200   risk = 0.021  time = 1634   
 80/200   risk = 0.021  time = 1739   
 85/200   risk = 0.021  time = 1844   
 90/200   risk = 0.021  time = 1955   
 95/200   risk = 0.021  time = 2064   
100/200   risk = 0.021  time = 2178   
105/200   risk = 0.021  time = 2290   
110/200   risk = 0.021  time = 2403   
115/200   risk = 0.021  time = 2517   
120/200   risk = 0.021  time = 2633   
125/200   risk = 0.021  time = 2747   
130/200   risk = 0.021  time = 2873   
135/200   risk = 0.021  time = 2988   
140/200   risk = 0.02  time = 3103   
145/200   risk = 0.02  time = 3221   
150/200   risk = 0.02  time = 3342   
155/200   risk = 0.02  time = 3461   
160/200   risk = 0.02  time = 3583   
165/200   risk = 0.02  time = 3704   
170/200   risk = 0.02  time = 3826   
175/200   risk = 0.02  time = 3963   
180/200   risk = 0.02  time = 4087   
185/200   risk = 0.02  time = 4214   
190/200   risk = 0.02  time = 4343   
195/200   risk = 0.02  time = 4468   
200/200   risk = 0.02  time = 4597   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=10968]
### [bt]: Calculation finished!
