### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6464]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6464 (seed = 37879) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 408   
 10/200   risk = 0.09  time = 491   
 15/200   risk = 0.069  time = 559   
 20/200   risk = 0.056  time = 626   
 25/200   risk = 0.047  time = 692   
 30/200   risk = 0.042  time = 763   
 35/200   risk = 0.038  time = 834   
 40/200   risk = 0.036  time = 921   
 45/200   risk = 0.034  time = 996   
 50/200   risk = 0.033  time = 1082   
 55/200   risk = 0.032  time = 1164   
 60/200   risk = 0.031  time = 1246   
 65/200   risk = 0.031  time = 1329   
 70/200   risk = 0.03  time = 1410   
 75/200   risk = 0.03  time = 1489   
 80/200   risk = 0.03  time = 1569   
 85/200   risk = 0.029  time = 1648   
 90/200   risk = 0.029  time = 1731   
 95/200   risk = 0.029  time = 1827   
100/200   risk = 0.029  time = 1912   
105/200   risk = 0.029  time = 1995   
110/200   risk = 0.028  time = 2079   
115/200   risk = 0.028  time = 2161   
120/200   risk = 0.028  time = 2248   
125/200   risk = 0.028  time = 2334   
130/200   risk = 0.028  time = 2437   
135/200   risk = 0.028  time = 2546   
140/200   risk = 0.027  time = 2674   
145/200   risk = 0.027  time = 2769   
150/200   risk = 0.027  time = 2858   
155/200   risk = 0.027  time = 2949   
160/200   risk = 0.027  time = 3039   
165/200   risk = 0.027  time = 3131   
170/200   risk = 0.027  time = 3223   
175/200   risk = 0.027  time = 3317   
180/200   risk = 0.026  time = 3431   
185/200   risk = 0.026  time = 3531   
190/200   risk = 0.026  time = 3628   
195/200   risk = 0.026  time = 3724   
200/200   risk = 0.026  time = 3843   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.026


### [bt]: Job terminated successfully [batchtools job.id=6464]
### [bt]: Calculation finished!
