### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13535]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13535 (seed = 44950) ...
  1/200   risk = 0.091  time = 0   
  5/200   risk = 0.069  time = 2434   
 10/200   risk = 0.051  time = 5390   
 15/200   risk = 0.04  time = 8277   
 20/200   risk = 0.033  time = 11212   
 25/200   risk = 0.029  time = 14474   
 30/200   risk = 0.026  time = 58406   
 35/200   risk = 0.025  time = 67658   
 40/200   risk = 0.024  time = 76805   
 45/200   risk = 0.023  time = 85899   
 50/200   risk = 0.022  time = 94956   
 55/200   risk = 0.022  time = 103949   
 60/200   risk = 0.022  time = 112843   
 65/200   risk = 0.022  time = 121701   
 70/200   risk = 0.021  time = 130351   
 75/200   risk = 0.021  time = 139855   
 80/200   risk = 0.021  time = 147587   
 85/200   risk = 0.021  time = 151543   
 90/200   risk = 0.021  time = 155388   
 95/200   risk = 0.021  time = 158782   
100/200   risk = 0.021  time = 162009   
105/200   risk = 0.021  time = 165240   
110/200   risk = 0.021  time = 169748   
115/200   risk = 0.021  time = 174523   
120/200   risk = 0.021  time = 177233   
125/200   risk = 0.021  time = 179713   
130/200   risk = 0.021  time = 182192   
135/200   risk = 0.021  time = 184550   
140/200   risk = 0.021  time = 186762   
145/200   risk = 0.021  time = 188972   
150/200   risk = 0.021  time = 191178   
155/200   risk = 0.021  time = 193307   
160/200   risk = 0.021  time = 195746   
165/200   risk = 0.021  time = 198002   
170/200   risk = 0.021  time = 200278   
175/200   risk = 0.021  time = 202580   
180/200   risk = 0.021  time = 204922   
185/200   risk = 0.021  time = 207333   
190/200   risk = 0.021  time = 209745   
195/200   risk = 0.021  time = 212172   
200/200   risk = 0.021  time = 214656   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=13535]
### [bt]: Calculation finished!
