### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1343]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1343 (seed = 32758) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.23  time = 538   
 10/200   risk = 0.18  time = 1116   
 15/200   risk = 0.15  time = 1670   
 20/200   risk = 0.13  time = 2243   
 25/200   risk = 0.11  time = 2836   
 30/200   risk = 0.098  time = 3424   
 35/200   risk = 0.089  time = 4002   
 40/200   risk = 0.082  time = 4585   
 45/200   risk = 0.077  time = 5183   
 50/200   risk = 0.072  time = 5768   
 55/200   risk = 0.069  time = 6358   
 60/200   risk = 0.066  time = 6945   
 65/200   risk = 0.064  time = 7480   
 70/200   risk = 0.062  time = 8076   
 75/200   risk = 0.06  time = 8664   
 80/200   risk = 0.058  time = 9270   
 85/200   risk = 0.057  time = 9875   
 90/200   risk = 0.056  time = 10474   
 95/200   risk = 0.055  time = 11078   
100/200   risk = 0.054  time = 11703   
105/200   risk = 0.053  time = 12324   
110/200   risk = 0.052  time = 12966   
115/200   risk = 0.051  time = 13598   
120/200   risk = 0.051  time = 14222   
125/200   risk = 0.05  time = 14903   
130/200   risk = 0.05  time = 15565   
135/200   risk = 0.049  time = 16203   
140/200   risk = 0.048  time = 16846   
145/200   risk = 0.048  time = 17486   
150/200   risk = 0.048  time = 18134   
155/200   risk = 0.047  time = 18775   
160/200   risk = 0.047  time = 19430   
165/200   risk = 0.047  time = 20050   
170/200   risk = 0.046  time = 20724   
175/200   risk = 0.046  time = 21360   
180/200   risk = 0.046  time = 22047   
185/200   risk = 0.045  time = 22733   
190/200   risk = 0.045  time = 23419   
195/200   risk = 0.045  time = 24100   
200/200   risk = 0.045  time = 24771   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.045


### [bt]: Job terminated successfully [batchtools job.id=1343]
### [bt]: Calculation finished!
