### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1733]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1733 (seed = 33148) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.24  time = 380   
 10/200   risk = 0.2  time = 788   
 15/200   risk = 0.17  time = 1160   
 20/200   risk = 0.14  time = 1598   
 25/200   risk = 0.13  time = 2023   
 30/200   risk = 0.11  time = 2416   
 35/200   risk = 0.1  time = 2793   
 40/200   risk = 0.097  time = 3161   
 45/200   risk = 0.091  time = 3539   
 50/200   risk = 0.086  time = 3914   
 55/200   risk = 0.082  time = 4290   
 60/200   risk = 0.079  time = 4678   
 65/200   risk = 0.077  time = 5067   
 70/200   risk = 0.075  time = 5446   
 75/200   risk = 0.073  time = 5850   
 80/200   risk = 0.072  time = 6363   
 85/200   risk = 0.07  time = 6890   
 90/200   risk = 0.069  time = 7279   
 95/200   risk = 0.068  time = 7666   
100/200   risk = 0.067  time = 8049   
105/200   risk = 0.067  time = 8438   
110/200   risk = 0.066  time = 8841   
115/200   risk = 0.065  time = 9208   
120/200   risk = 0.065  time = 9569   
125/200   risk = 0.064  time = 9928   
130/200   risk = 0.064  time = 10300   
135/200   risk = 0.064  time = 10666   
140/200   risk = 0.063  time = 11063   
145/200   risk = 0.063  time = 11428   
150/200   risk = 0.062  time = 11798   
155/200   risk = 0.062  time = 12164   
160/200   risk = 0.062  time = 12545   
165/200   risk = 0.061  time = 12923   
170/200   risk = 0.061  time = 13292   
175/200   risk = 0.061  time = 13685   
180/200   risk = 0.061  time = 14083   
185/200   risk = 0.06  time = 14466   
190/200   risk = 0.06  time = 14852   
195/200   risk = 0.06  time = 15238   
200/200   risk = 0.06  time = 15626   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.06


### [bt]: Job terminated successfully [batchtools job.id=1733]
### [bt]: Calculation finished!
