### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5836]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5836 (seed = 37251) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.21  time = 1475   
 10/200   risk = 0.14  time = 3217   
 15/200   risk = 0.1  time = 4921   
 20/200   risk = 0.075  time = 6573   
 25/200   risk = 0.058  time = 8219   
 30/200   risk = 0.046  time = 9850   
 35/200   risk = 0.039  time = 11525   
 40/200   risk = 0.034  time = 13217   
 45/200   risk = 0.031  time = 14882   
 50/200   risk = 0.028  time = 16526   
 55/200   risk = 0.027  time = 18179   
 60/200   risk = 0.026  time = 19826   
 65/200   risk = 0.025  time = 21489   
 70/200   risk = 0.024  time = 23148   
 75/200   risk = 0.024  time = 24796   
 80/200   risk = 0.024  time = 26445   
 85/200   risk = 0.023  time = 28105   
 90/200   risk = 0.023  time = 29753   
 95/200   risk = 0.023  time = 31405   
100/200   risk = 0.023  time = 33051   
105/200   risk = 0.023  time = 34708   
110/200   risk = 0.023  time = 36383   
115/200   risk = 0.023  time = 38038   
120/200   risk = 0.022  time = 39693   
125/200   risk = 0.022  time = 41354   
130/200   risk = 0.022  time = 43018   
135/200   risk = 0.022  time = 44716   
140/200   risk = 0.022  time = 46411   
145/200   risk = 0.022  time = 48070   
150/200   risk = 0.022  time = 49732   
155/200   risk = 0.022  time = 51396   
160/200   risk = 0.022  time = 53091   
165/200   risk = 0.022  time = 54769   
170/200   risk = 0.022  time = 56433   
175/200   risk = 0.022  time = 58150   
180/200   risk = 0.022  time = 59855   
185/200   risk = 0.022  time = 61540   
190/200   risk = 0.022  time = 63268   
195/200   risk = 0.022  time = 64984   
200/200   risk = 0.022  time = 66685   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=5836]
### [bt]: Calculation finished!
