### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7277]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7277 (seed = 38692) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.14  time = 155   
 10/200   risk = 0.099  time = 255   
 15/200   risk = 0.072  time = 336   
 20/200   risk = 0.054  time = 416   
 25/200   risk = 0.043  time = 495   
 30/200   risk = 0.036  time = 574   
 35/200   risk = 0.032  time = 655   
 40/200   risk = 0.029  time = 744   
 45/200   risk = 0.027  time = 831   
 50/200   risk = 0.026  time = 927   
 55/200   risk = 0.025  time = 1023   
 60/200   risk = 0.024  time = 1115   
 65/200   risk = 0.024  time = 1221   
 70/200   risk = 0.023  time = 1347   
 75/200   risk = 0.023  time = 1464   
 80/200   risk = 0.023  time = 1581   
 85/200   risk = 0.023  time = 1681   
 90/200   risk = 0.023  time = 1787   
 95/200   risk = 0.023  time = 1885   
100/200   risk = 0.023  time = 1990   
105/200   risk = 0.022  time = 2112   
110/200   risk = 0.022  time = 2220   
115/200   risk = 0.022  time = 2331   
120/200   risk = 0.022  time = 2440   
125/200   risk = 0.022  time = 2552   
130/200   risk = 0.022  time = 2678   
135/200   risk = 0.022  time = 2804   
140/200   risk = 0.022  time = 2925   
145/200   risk = 0.022  time = 3042   
150/200   risk = 0.022  time = 3125   
155/200   risk = 0.022  time = 3213   
160/200   risk = 0.022  time = 3302   
165/200   risk = 0.022  time = 3384   
170/200   risk = 0.022  time = 3468   
175/200   risk = 0.022  time = 3552   
180/200   risk = 0.022  time = 3640   
185/200   risk = 0.022  time = 3726   
190/200   risk = 0.022  time = 3812   
195/200   risk = 0.022  time = 3899   
200/200   risk = 0.022  time = 3990   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=7277]
### [bt]: Calculation finished!
