### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9909]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9909 (seed = 41324) ...
  1/200   risk = 0.11  time = 0   
  5/200   risk = 0.081  time = 3213   
 10/200   risk = 0.059  time = 6999   
 15/200   risk = 0.046  time = 10696   
 20/200   risk = 0.037  time = 14519   
 25/200   risk = 0.031  time = 18200   
 30/200   risk = 0.028  time = 21967   
 35/200   risk = 0.025  time = 25734   
 40/200   risk = 0.024  time = 29513   
 45/200   risk = 0.023  time = 33345   
 50/200   risk = 0.022  time = 37040   
 55/200   risk = 0.022  time = 40680   
 60/200   risk = 0.021  time = 44439   
 65/200   risk = 0.021  time = 48289   
 70/200   risk = 0.021  time = 51936   
 75/200   risk = 0.021  time = 55738   
 80/200   risk = 0.021  time = 59935   
 85/200   risk = 0.021  time = 63915   
 90/200   risk = 0.02  time = 67680   
 95/200   risk = 0.02  time = 71359   
100/200   risk = 0.02  time = 75171   
105/200   risk = 0.02  time = 78971   
110/200   risk = 0.02  time = 82781   
115/200   risk = 0.02  time = 86746   
120/200   risk = 0.02  time = 90593   
125/200   risk = 0.02  time = 94437   
130/200   risk = 0.02  time = 98410   
135/200   risk = 0.02  time = 102106   
140/200   risk = 0.02  time = 105775   
145/200   risk = 0.02  time = 109619   
150/200   risk = 0.02  time = 113466   
155/200   risk = 0.02  time = 119525   
160/200   risk = 0.02  time = 125935   
165/200   risk = 0.02  time = 130374   
170/200   risk = 0.02  time = 135318   
175/200   risk = 0.02  time = 139691   
180/200   risk = 0.02  time = 143442   
185/200   risk = 0.02  time = 147213   
190/200   risk = 0.02  time = 150987   
195/200   risk = 0.02  time = 154855   
200/200   risk = 0.02  time = 158915   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=9909]
### [bt]: Calculation finished!
