### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5709]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5709 (seed = 37124) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.2  time = 376   
 10/200   risk = 0.14  time = 783   
 15/200   risk = 0.1  time = 1142   
 20/200   risk = 0.076  time = 1500   
 25/200   risk = 0.059  time = 1857   
 30/200   risk = 0.048  time = 2220   
 35/200   risk = 0.041  time = 2578   
 40/200   risk = 0.036  time = 2936   
 45/200   risk = 0.033  time = 3293   
 50/200   risk = 0.03  time = 3656   
 55/200   risk = 0.029  time = 4089   
 60/200   risk = 0.028  time = 4475   
 65/200   risk = 0.027  time = 4859   
 70/200   risk = 0.026  time = 5239   
 75/200   risk = 0.026  time = 5620   
 80/200   risk = 0.025  time = 5998   
 85/200   risk = 0.025  time = 6379   
 90/200   risk = 0.025  time = 6761   
 95/200   risk = 0.025  time = 7144   
100/200   risk = 0.024  time = 7537   
105/200   risk = 0.024  time = 7924   
110/200   risk = 0.024  time = 8309   
115/200   risk = 0.024  time = 8696   
120/200   risk = 0.024  time = 9082   
125/200   risk = 0.024  time = 9471   
130/200   risk = 0.024  time = 9863   
135/200   risk = 0.024  time = 10253   
140/200   risk = 0.024  time = 10679   
145/200   risk = 0.024  time = 11075   
150/200   risk = 0.024  time = 11470   
155/200   risk = 0.024  time = 11865   
160/200   risk = 0.024  time = 12260   
165/200   risk = 0.024  time = 12656   
170/200   risk = 0.024  time = 13055   
175/200   risk = 0.024  time = 13453   
180/200   risk = 0.024  time = 13853   
185/200   risk = 0.023  time = 14297   
190/200   risk = 0.023  time = 14720   
195/200   risk = 0.023  time = 15139   
200/200   risk = 0.023  time = 15560   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=5709]
### [bt]: Calculation finished!
