### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7078]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7078 (seed = 38493) ...
  1/200   risk = 0.18  time = 0   
  5/200   risk = 0.13  time = 543   
 10/200   risk = 0.093  time = 1119   
 15/200   risk = 0.069  time = 1594   
 20/200   risk = 0.054  time = 2062   
 25/200   risk = 0.044  time = 2537   
 30/200   risk = 0.037  time = 3467   
 35/200   risk = 0.033  time = 3945   
 40/200   risk = 0.031  time = 4434   
 45/200   risk = 0.029  time = 4889   
 50/200   risk = 0.027  time = 5355   
 55/200   risk = 0.026  time = 5834   
 60/200   risk = 0.026  time = 6488   
 65/200   risk = 0.025  time = 6957   
 70/200   risk = 0.024  time = 7468   
 75/200   risk = 0.024  time = 7981   
 80/200   risk = 0.024  time = 8485   
 85/200   risk = 0.023  time = 9007   
 90/200   risk = 0.023  time = 9523   
 95/200   risk = 0.023  time = 10485   
100/200   risk = 0.023  time = 11000   
105/200   risk = 0.022  time = 11534   
110/200   risk = 0.022  time = 12039   
115/200   risk = 0.022  time = 12564   
120/200   risk = 0.022  time = 13254   
125/200   risk = 0.022  time = 13791   
130/200   risk = 0.022  time = 14324   
135/200   risk = 0.022  time = 14845   
140/200   risk = 0.022  time = 15378   
145/200   risk = 0.021  time = 15919   
150/200   risk = 0.021  time = 16908   
155/200   risk = 0.021  time = 17406   
160/200   risk = 0.021  time = 18036   
165/200   risk = 0.021  time = 25125   
170/200   risk = 0.021  time = 25930   
175/200   risk = 0.021  time = 26614   
180/200   risk = 0.021  time = 27114   
185/200   risk = 0.021  time = 27632   
190/200   risk = 0.021  time = 28244   
195/200   risk = 0.021  time = 28758   
200/200   risk = 0.021  time = 29259   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=7078]
### [bt]: Calculation finished!
