### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1775]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1775 (seed = 33190) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.24  time = 158   
 10/200   risk = 0.2  time = 293   
 15/200   risk = 0.18  time = 394   
 20/200   risk = 0.16  time = 495   
 25/200   risk = 0.14  time = 593   
 30/200   risk = 0.13  time = 697   
 35/200   risk = 0.12  time = 798   
 40/200   risk = 0.11  time = 899   
 45/200   risk = 0.11  time = 998   
 50/200   risk = 0.1  time = 1101   
 55/200   risk = 0.1  time = 1205   
 60/200   risk = 0.099  time = 1312   
 65/200   risk = 0.096  time = 1422   
 70/200   risk = 0.094  time = 1532   
 75/200   risk = 0.093  time = 1641   
 80/200   risk = 0.092  time = 1751   
 85/200   risk = 0.09  time = 1860   
 90/200   risk = 0.089  time = 1970   
 95/200   risk = 0.089  time = 2088   
100/200   risk = 0.088  time = 2203   
105/200   risk = 0.087  time = 2317   
110/200   risk = 0.086  time = 2433   
115/200   risk = 0.086  time = 2552   
120/200   risk = 0.085  time = 2670   
125/200   risk = 0.085  time = 2787   
130/200   risk = 0.084  time = 2907   
135/200   risk = 0.084  time = 3025   
140/200   risk = 0.083  time = 3146   
145/200   risk = 0.083  time = 3266   
150/200   risk = 0.082  time = 3389   
155/200   risk = 0.082  time = 3512   
160/200   risk = 0.082  time = 3655   
165/200   risk = 0.081  time = 3786   
170/200   risk = 0.081  time = 3912   
175/200   risk = 0.081  time = 4038   
180/200   risk = 0.08  time = 4164   
185/200   risk = 0.08  time = 4291   
190/200   risk = 0.08  time = 4424   
195/200   risk = 0.08  time = 4554   
200/200   risk = 0.079  time = 4686   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.079


### [bt]: Job terminated successfully [batchtools job.id=1775]
### [bt]: Calculation finished!
