### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9524]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9524 (seed = 40939) ...
  1/200   risk = 0.12  time = 0   
  5/200   risk = 0.089  time = 3707   
 10/200   risk = 0.064  time = 7649   
 15/200   risk = 0.049  time = 11266   
 20/200   risk = 0.04  time = 15034   
 25/200   risk = 0.034  time = 19284   
 30/200   risk = 0.03  time = 23164   
 35/200   risk = 0.027  time = 26781   
 40/200   risk = 0.026  time = 30438   
 45/200   risk = 0.025  time = 34098   
 50/200   risk = 0.024  time = 38085   
 55/200   risk = 0.024  time = 41804   
 60/200   risk = 0.023  time = 45308   
 65/200   risk = 0.023  time = 49290   
 70/200   risk = 0.023  time = 53151   
 75/200   risk = 0.022  time = 57347   
 80/200   risk = 0.022  time = 61263   
 85/200   risk = 0.022  time = 65070   
 90/200   risk = 0.022  time = 68764   
 95/200   risk = 0.022  time = 72289   
100/200   risk = 0.022  time = 75806   
105/200   risk = 0.022  time = 79520   
110/200   risk = 0.022  time = 84062   
115/200   risk = 0.021  time = 89354   
120/200   risk = 0.021  time = 93899   
125/200   risk = 0.021  time = 98019   
130/200   risk = 0.021  time = 102593   
135/200   risk = 0.021  time = 107213   
140/200   risk = 0.021  time = 111463   
145/200   risk = 0.021  time = 116176   
150/200   risk = 0.021  time = 121015   
155/200   risk = 0.021  time = 125589   
160/200   risk = 0.021  time = 129461   
165/200   risk = 0.021  time = 133978   
170/200   risk = 0.021  time = 138800   
175/200   risk = 0.021  time = 143123   
180/200   risk = 0.021  time = 146778   
185/200   risk = 0.021  time = 151708   
190/200   risk = 0.021  time = 156685   
195/200   risk = 0.021  time = 161072   
200/200   risk = 0.021  time = 165129   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=9524]
### [bt]: Calculation finished!
