### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11669]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11669 (seed = 43084) ...
  1/200   risk = 0.078  time = 0   
  5/200   risk = 0.06  time = 157   
 10/200   risk = 0.046  time = 257   
 15/200   risk = 0.036  time = 347   
 20/200   risk = 0.031  time = 451   
 25/200   risk = 0.027  time = 542   
 30/200   risk = 0.025  time = 633   
 35/200   risk = 0.023  time = 723   
 40/200   risk = 0.022  time = 834   
 45/200   risk = 0.022  time = 929   
 50/200   risk = 0.021  time = 1047   
 55/200   risk = 0.021  time = 1157   
 60/200   risk = 0.021  time = 1262   
 65/200   risk = 0.021  time = 1379   
 70/200   risk = 0.021  time = 1487   
 75/200   risk = 0.021  time = 1590   
 80/200   risk = 0.021  time = 1700   
 85/200   risk = 0.02  time = 1806   
 90/200   risk = 0.02  time = 1932   
 95/200   risk = 0.02  time = 2037   
100/200   risk = 0.02  time = 2148   
105/200   risk = 0.02  time = 2255   
110/200   risk = 0.02  time = 2372   
115/200   risk = 0.02  time = 2482   
120/200   risk = 0.02  time = 2595   
125/200   risk = 0.02  time = 2713   
130/200   risk = 0.02  time = 2836   
135/200   risk = 0.02  time = 2949   
140/200   risk = 0.02  time = 3062   
145/200   risk = 0.02  time = 3187   
150/200   risk = 0.02  time = 3308   
155/200   risk = 0.02  time = 3434   
160/200   risk = 0.02  time = 3557   
165/200   risk = 0.02  time = 3681   
170/200   risk = 0.02  time = 3839   
175/200   risk = 0.02  time = 3962   
180/200   risk = 0.02  time = 4088   
185/200   risk = 0.02  time = 4213   
190/200   risk = 0.02  time = 4348   
195/200   risk = 0.02  time = 4474   
200/200   risk = 0.02  time = 4603   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11669]
### [bt]: Calculation finished!
