### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10355]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10355 (seed = 41770) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.19  time = 5339   
 10/200   risk = 0.13  time = 10277   
 15/200   risk = 0.087  time = 14986   
 20/200   risk = 0.062  time = 19634   
 25/200   risk = 0.046  time = 24191   
 30/200   risk = 0.037  time = 28995   
 35/200   risk = 0.031  time = 33974   
 40/200   risk = 0.027  time = 39048   
 45/200   risk = 0.025  time = 44051   
 50/200   risk = 0.023  time = 49080   
 55/200   risk = 0.022  time = 54212   
 60/200   risk = 0.022  time = 58946   
 65/200   risk = 0.021  time = 63819   
 70/200   risk = 0.021  time = 68698   
 75/200   risk = 0.021  time = 73432   
 80/200   risk = 0.021  time = 78235   
 85/200   risk = 0.021  time = 83793   
 90/200   risk = 0.021  time = 88231   
 95/200   risk = 0.02  time = 92459   
100/200   risk = 0.02  time = 95720   
105/200   risk = 0.02  time = 98841   
110/200   risk = 0.02  time = 102006   
115/200   risk = 0.02  time = 105301   
120/200   risk = 0.02  time = 108569   
125/200   risk = 0.02  time = 111889   
130/200   risk = 0.02  time = 115285   
135/200   risk = 0.02  time = 118599   
140/200   risk = 0.02  time = 121955   
145/200   risk = 0.02  time = 125235   
150/200   risk = 0.02  time = 128523   
155/200   risk = 0.02  time = 131747   
160/200   risk = 0.02  time = 134903   
165/200   risk = 0.02  time = 137460   
170/200   risk = 0.02  time = 139971   
175/200   risk = 0.02  time = 142511   
180/200   risk = 0.02  time = 144972   
185/200   risk = 0.02  time = 147435   
190/200   risk = 0.02  time = 149818   
195/200   risk = 0.02  time = 152193   
200/200   risk = 0.02  time = 154617   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=10355]
### [bt]: Calculation finished!
