### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5645]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5645 (seed = 37060) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.2  time = 245   
 10/200   risk = 0.14  time = 498   
 15/200   risk = 0.099  time = 705   
 20/200   risk = 0.074  time = 900   
 25/200   risk = 0.057  time = 1093   
 30/200   risk = 0.046  time = 1290   
 35/200   risk = 0.039  time = 1485   
 40/200   risk = 0.034  time = 1689   
 45/200   risk = 0.03  time = 1892   
 50/200   risk = 0.028  time = 2098   
 55/200   risk = 0.026  time = 2322   
 60/200   risk = 0.025  time = 2541   
 65/200   risk = 0.025  time = 2747   
 70/200   risk = 0.024  time = 2955   
 75/200   risk = 0.024  time = 3161   
 80/200   risk = 0.023  time = 3372   
 85/200   risk = 0.023  time = 3576   
 90/200   risk = 0.023  time = 3800   
 95/200   risk = 0.023  time = 4007   
100/200   risk = 0.022  time = 4210   
105/200   risk = 0.022  time = 4416   
110/200   risk = 0.022  time = 4643   
115/200   risk = 0.022  time = 4859   
120/200   risk = 0.022  time = 5078   
125/200   risk = 0.022  time = 5296   
130/200   risk = 0.022  time = 5532   
135/200   risk = 0.022  time = 5746   
140/200   risk = 0.022  time = 5983   
145/200   risk = 0.022  time = 6200   
150/200   risk = 0.022  time = 6416   
155/200   risk = 0.022  time = 6653   
160/200   risk = 0.022  time = 6878   
165/200   risk = 0.022  time = 7123   
170/200   risk = 0.022  time = 7352   
175/200   risk = 0.022  time = 7590   
180/200   risk = 0.022  time = 7811   
185/200   risk = 0.022  time = 8032   
190/200   risk = 0.022  time = 8253   
195/200   risk = 0.022  time = 8475   
200/200   risk = 0.022  time = 8708   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=5645]
### [bt]: Calculation finished!
