### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9818]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9818 (seed = 41233) ...
  1/200   risk = 0.1  time = 0   
  5/200   risk = 0.08  time = 1237   
 10/200   risk = 0.059  time = 2783   
 15/200   risk = 0.045  time = 4312   
 20/200   risk = 0.037  time = 5865   
 25/200   risk = 0.031  time = 7446   
 30/200   risk = 0.028  time = 9031   
 35/200   risk = 0.025  time = 10614   
 40/200   risk = 0.024  time = 12207   
 45/200   risk = 0.023  time = 13793   
 50/200   risk = 0.022  time = 15413   
 55/200   risk = 0.022  time = 17126   
 60/200   risk = 0.021  time = 18742   
 65/200   risk = 0.021  time = 20338   
 70/200   risk = 0.021  time = 21939   
 75/200   risk = 0.021  time = 23758   
 80/200   risk = 0.021  time = 25498   
 85/200   risk = 0.021  time = 27098   
 90/200   risk = 0.021  time = 28744   
 95/200   risk = 0.021  time = 30343   
100/200   risk = 0.021  time = 32035   
105/200   risk = 0.021  time = 33662   
110/200   risk = 0.021  time = 35301   
115/200   risk = 0.021  time = 36897   
120/200   risk = 0.021  time = 38501   
125/200   risk = 0.021  time = 40098   
130/200   risk = 0.021  time = 41716   
135/200   risk = 0.021  time = 43316   
140/200   risk = 0.02  time = 44925   
145/200   risk = 0.02  time = 46546   
150/200   risk = 0.02  time = 48205   
155/200   risk = 0.02  time = 49810   
160/200   risk = 0.02  time = 51422   
165/200   risk = 0.02  time = 53023   
170/200   risk = 0.02  time = 54665   
175/200   risk = 0.02  time = 56317   
180/200   risk = 0.02  time = 57947   
185/200   risk = 0.02  time = 59557   
190/200   risk = 0.02  time = 61181   
195/200   risk = 0.02  time = 62793   
200/200   risk = 0.02  time = 64414   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=9818]
### [bt]: Calculation finished!
