### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7855]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7855 (seed = 39270) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.12  time = 353   
 10/200   risk = 0.086  time = 686   
 15/200   risk = 0.064  time = 970   
 20/200   risk = 0.049  time = 1254   
 25/200   risk = 0.039  time = 1545   
 30/200   risk = 0.033  time = 1829   
 35/200   risk = 0.029  time = 2113   
 40/200   risk = 0.027  time = 2399   
 45/200   risk = 0.025  time = 2688   
 50/200   risk = 0.023  time = 2980   
 55/200   risk = 0.023  time = 3273   
 60/200   risk = 0.022  time = 3567   
 65/200   risk = 0.022  time = 3868   
 70/200   risk = 0.021  time = 4166   
 75/200   risk = 0.021  time = 4456   
 80/200   risk = 0.021  time = 4748   
 85/200   risk = 0.021  time = 5059   
 90/200   risk = 0.021  time = 5353   
 95/200   risk = 0.021  time = 5645   
100/200   risk = 0.021  time = 5937   
105/200   risk = 0.021  time = 6260   
110/200   risk = 0.021  time = 6694   
115/200   risk = 0.021  time = 7132   
120/200   risk = 0.021  time = 7576   
125/200   risk = 0.021  time = 8012   
130/200   risk = 0.021  time = 8442   
135/200   risk = 0.02  time = 8848   
140/200   risk = 0.02  time = 9248   
145/200   risk = 0.02  time = 9665   
150/200   risk = 0.02  time = 10051   
155/200   risk = 0.02  time = 10461   
160/200   risk = 0.02  time = 10860   
165/200   risk = 0.02  time = 11255   
170/200   risk = 0.02  time = 11668   
175/200   risk = 0.02  time = 12065   
180/200   risk = 0.02  time = 12473   
185/200   risk = 0.02  time = 12889   
190/200   risk = 0.02  time = 13295   
195/200   risk = 0.02  time = 13699   
200/200   risk = 0.02  time = 14107   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=7855]
### [bt]: Calculation finished!
