### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6441]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6441 (seed = 37856) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 393   
 10/200   risk = 0.083  time = 771   
 15/200   risk = 0.062  time = 1140   
 20/200   risk = 0.049  time = 1516   
 25/200   risk = 0.041  time = 1920   
 30/200   risk = 0.035  time = 2291   
 35/200   risk = 0.032  time = 2658   
 40/200   risk = 0.029  time = 3021   
 45/200   risk = 0.028  time = 3379   
 50/200   risk = 0.027  time = 3763   
 55/200   risk = 0.026  time = 4142   
 60/200   risk = 0.025  time = 4521   
 65/200   risk = 0.024  time = 4921   
 70/200   risk = 0.024  time = 5310   
 75/200   risk = 0.024  time = 5684   
 80/200   risk = 0.023  time = 6062   
 85/200   risk = 0.023  time = 6438   
 90/200   risk = 0.023  time = 6811   
 95/200   risk = 0.023  time = 7188   
100/200   risk = 0.022  time = 7568   
105/200   risk = 0.022  time = 7946   
110/200   risk = 0.022  time = 8324   
115/200   risk = 0.022  time = 8721   
120/200   risk = 0.022  time = 9104   
125/200   risk = 0.021  time = 9491   
130/200   risk = 0.021  time = 9878   
135/200   risk = 0.021  time = 10266   
140/200   risk = 0.021  time = 10649   
145/200   risk = 0.021  time = 11036   
150/200   risk = 0.021  time = 11429   
155/200   risk = 0.021  time = 11834   
160/200   risk = 0.021  time = 12228   
165/200   risk = 0.02  time = 12636   
170/200   risk = 0.02  time = 13014   
175/200   risk = 0.02  time = 13382   
180/200   risk = 0.02  time = 13751   
185/200   risk = 0.02  time = 14137   
190/200   risk = 0.02  time = 14509   
195/200   risk = 0.02  time = 14908   
200/200   risk = 0.02  time = 15180   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=6441]
### [bt]: Calculation finished!
