### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=288]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 288 (seed = 31703) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.22  time = 393   
 10/200   risk = 0.16  time = 698   
 15/200   risk = 0.13  time = 972   
 20/200   risk = 0.1  time = 1249   
 25/200   risk = 0.087  time = 1523   
 30/200   risk = 0.075  time = 1846   
 35/200   risk = 0.067  time = 2259   
 40/200   risk = 0.061  time = 2676   
 45/200   risk = 0.056  time = 3081   
 50/200   risk = 0.053  time = 3486   
 55/200   risk = 0.05  time = 3885   
 60/200   risk = 0.048  time = 4308   
 65/200   risk = 0.046  time = 4730   
 70/200   risk = 0.045  time = 5168   
 75/200   risk = 0.044  time = 5579   
 80/200   risk = 0.043  time = 5990   
 85/200   risk = 0.042  time = 6402   
 90/200   risk = 0.041  time = 6819   
 95/200   risk = 0.041  time = 7236   
100/200   risk = 0.04  time = 7652   
105/200   risk = 0.039  time = 8068   
110/200   risk = 0.039  time = 8495   
115/200   risk = 0.039  time = 8913   
120/200   risk = 0.038  time = 9328   
125/200   risk = 0.038  time = 9770   
130/200   risk = 0.038  time = 10197   
135/200   risk = 0.037  time = 10635   
140/200   risk = 0.037  time = 11068   
145/200   risk = 0.037  time = 11507   
150/200   risk = 0.036  time = 11955   
155/200   risk = 0.036  time = 12404   
160/200   risk = 0.036  time = 12857   
165/200   risk = 0.036  time = 13308   
170/200   risk = 0.036  time = 13764   
175/200   risk = 0.035  time = 14199   
180/200   risk = 0.035  time = 14652   
185/200   risk = 0.035  time = 15102   
190/200   risk = 0.035  time = 15566   
195/200   risk = 0.035  time = 15999   
200/200   risk = 0.035  time = 16435   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.035


### [bt]: Job terminated successfully [batchtools job.id=288]
### [bt]: Calculation finished!
