### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7556]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7556 (seed = 38971) ...
  1/200   risk = 0.19  time = 0   
  5/200   risk = 0.14  time = 2675   
 10/200   risk = 0.098  time = 4143   
 15/200   risk = 0.071  time = 7619   
 20/200   risk = 0.054  time = 9148   
 25/200   risk = 0.043  time = 17707   
 30/200   risk = 0.037  time = 19187   
 35/200   risk = 0.032  time = 27860   
 40/200   risk = 0.029  time = 29331   
 45/200   risk = 0.027  time = 30793   
 50/200   risk = 0.026  time = 32208   
 55/200   risk = 0.025  time = 33573   
 60/200   risk = 0.024  time = 40580   
 65/200   risk = 0.023  time = 42357   
 70/200   risk = 0.023  time = 48109   
 75/200   risk = 0.023  time = 49889   
 80/200   risk = 0.022  time = 51617   
 85/200   risk = 0.022  time = 53263   
 90/200   risk = 0.022  time = 56154   
 95/200   risk = 0.022  time = 65512   
100/200   risk = 0.022  time = 69957   
105/200   risk = 0.022  time = 78045   
110/200   risk = 0.021  time = 82824   
115/200   risk = 0.021  time = 86930   
120/200   risk = 0.021  time = 91219   
125/200   risk = 0.021  time = 101629   
130/200   risk = 0.021  time = 105306   
135/200   risk = 0.021  time = 108525   
140/200   risk = 0.021  time = 111758   
145/200   risk = 0.021  time = 115430   
150/200   risk = 0.021  time = 118856   
155/200   risk = 0.021  time = 122320   
160/200   risk = 0.021  time = 125809   
165/200   risk = 0.021  time = 136085   
170/200   risk = 0.021  time = 139346   
175/200   risk = 0.021  time = 142651   
180/200   risk = 0.021  time = 144590   
185/200   risk = 0.021  time = 146210   
190/200   risk = 0.021  time = 147956   
195/200   risk = 0.021  time = 149471   
200/200   risk = 0.021  time = 151002   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=7556]
### [bt]: Calculation finished!
