### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1469]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1469 (seed = 32884) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 531   
 10/200   risk = 0.18  time = 1014   
 15/200   risk = 0.15  time = 1436   
 20/200   risk = 0.13  time = 1886   
 25/200   risk = 0.12  time = 2311   
 30/200   risk = 0.1  time = 2743   
 35/200   risk = 0.094  time = 3202   
 40/200   risk = 0.087  time = 3677   
 45/200   risk = 0.082  time = 4127   
 50/200   risk = 0.077  time = 4574   
 55/200   risk = 0.074  time = 5038   
 60/200   risk = 0.071  time = 5529   
 65/200   risk = 0.068  time = 6000   
 70/200   risk = 0.066  time = 6438   
 75/200   risk = 0.065  time = 6871   
 80/200   risk = 0.063  time = 7306   
 85/200   risk = 0.062  time = 7751   
 90/200   risk = 0.061  time = 8223   
 95/200   risk = 0.06  time = 8696   
100/200   risk = 0.059  time = 9209   
105/200   risk = 0.058  time = 9663   
110/200   risk = 0.057  time = 10133   
115/200   risk = 0.056  time = 10596   
120/200   risk = 0.056  time = 11059   
125/200   risk = 0.055  time = 11525   
130/200   risk = 0.054  time = 12020   
135/200   risk = 0.054  time = 12489   
140/200   risk = 0.053  time = 12957   
145/200   risk = 0.053  time = 13422   
150/200   risk = 0.053  time = 13890   
155/200   risk = 0.052  time = 14371   
160/200   risk = 0.052  time = 14862   
165/200   risk = 0.051  time = 15360   
170/200   risk = 0.051  time = 15842   
175/200   risk = 0.051  time = 16325   
180/200   risk = 0.05  time = 16805   
185/200   risk = 0.05  time = 17275   
190/200   risk = 0.05  time = 17732   
195/200   risk = 0.05  time = 18174   
200/200   risk = 0.049  time = 18659   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.049


### [bt]: Job terminated successfully [batchtools job.id=1469]
### [bt]: Calculation finished!
