### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10793]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10793 (seed = 42208) ...
  1/200   risk = 0.22  time = 0   
  5/200   risk = 0.16  time = 1514   
 10/200   risk = 0.11  time = 3069   
 15/200   risk = 0.073  time = 4551   
 20/200   risk = 0.053  time = 11682   
 25/200   risk = 0.041  time = 14142   
 30/200   risk = 0.034  time = 15656   
 35/200   risk = 0.029  time = 17167   
 40/200   risk = 0.026  time = 18814   
 45/200   risk = 0.025  time = 20639   
 50/200   risk = 0.023  time = 22391   
 55/200   risk = 0.023  time = 24160   
 60/200   risk = 0.022  time = 25984   
 65/200   risk = 0.022  time = 27765   
 70/200   risk = 0.022  time = 29491   
 75/200   risk = 0.021  time = 31589   
 80/200   risk = 0.021  time = 33605   
 85/200   risk = 0.021  time = 35619   
 90/200   risk = 0.021  time = 37774   
 95/200   risk = 0.021  time = 39870   
100/200   risk = 0.021  time = 41832   
105/200   risk = 0.021  time = 48844   
110/200   risk = 0.021  time = 50928   
115/200   risk = 0.021  time = 53036   
120/200   risk = 0.021  time = 55179   
125/200   risk = 0.021  time = 57279   
130/200   risk = 0.021  time = 59346   
135/200   risk = 0.021  time = 63080   
140/200   risk = 0.021  time = 65110   
145/200   risk = 0.021  time = 67356   
150/200   risk = 0.02  time = 69318   
155/200   risk = 0.02  time = 71408   
160/200   risk = 0.02  time = 73554   
165/200   risk = 0.02  time = 75787   
170/200   risk = 0.02  time = 77774   
175/200   risk = 0.02  time = 79828   
180/200   risk = 0.02  time = 81950   
185/200   risk = 0.02  time = 84046   
190/200   risk = 0.02  time = 86156   
195/200   risk = 0.02  time = 88274   
200/200   risk = 0.02  time = 90430   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=10793]
### [bt]: Calculation finished!
