### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7584]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7584 (seed = 38999) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.14  time = 2689   
 10/200   risk = 0.099  time = 5695   
 15/200   risk = 0.072  time = 8747   
 20/200   risk = 0.055  time = 11180   
 25/200   risk = 0.044  time = 12957   
 30/200   risk = 0.037  time = 17532   
 35/200   risk = 0.032  time = 19327   
 40/200   risk = 0.029  time = 21384   
 45/200   risk = 0.027  time = 23599   
 50/200   risk = 0.026  time = 25400   
 55/200   risk = 0.025  time = 27512   
 60/200   risk = 0.024  time = 29382   
 65/200   risk = 0.024  time = 46957   
 70/200   risk = 0.023  time = 100551   
 75/200   risk = 0.023  time = 114189   
 80/200   risk = 0.023  time = 125274   
 85/200   risk = 0.022  time = 128580   
 90/200   risk = 0.022  time = 136736   
 95/200   risk = 0.022  time = 140173   
100/200   risk = 0.022  time = 151596   
105/200   risk = 0.022  time = 156889   
110/200   risk = 0.022  time = 160374   
115/200   risk = 0.022  time = 163419   
120/200   risk = 0.021  time = 166853   
125/200   risk = 0.021  time = 169922   
130/200   risk = 0.021  time = 173176   
135/200   risk = 0.021  time = 176080   
140/200   risk = 0.021  time = 180049   
145/200   risk = 0.021  time = 183119   
150/200   risk = 0.021  time = 186673   
155/200   risk = 0.021  time = 189791   
160/200   risk = 0.021  time = 193037   
165/200   risk = 0.021  time = 196293   
170/200   risk = 0.021  time = 199549   
175/200   risk = 0.021  time = 202976   
180/200   risk = 0.021  time = 237492   
185/200   risk = 0.021  time = 243733   
190/200   risk = 0.021  time = 248147   
195/200   risk = 0.021  time = 251518   
200/200   risk = 0.021  time = 254777   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=7584]
### [bt]: Calculation finished!
