### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11823]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11823 (seed = 43238) ...
  1/200   risk = 0.075  time = 0   
  5/200   risk = 0.059  time = 1164   
 10/200   risk = 0.045  time = 2633   
 15/200   risk = 0.036  time = 3990   
 20/200   risk = 0.03  time = 5349   
 25/200   risk = 0.027  time = 6712   
 30/200   risk = 0.024  time = 8138   
 35/200   risk = 0.023  time = 9477   
 40/200   risk = 0.022  time = 10854   
 45/200   risk = 0.021  time = 12178   
 50/200   risk = 0.021  time = 13530   
 55/200   risk = 0.021  time = 14864   
 60/200   risk = 0.02  time = 16206   
 65/200   risk = 0.02  time = 17531   
 70/200   risk = 0.02  time = 18799   
 75/200   risk = 0.02  time = 20052   
 80/200   risk = 0.02  time = 21353   
 85/200   risk = 0.02  time = 22648   
 90/200   risk = 0.02  time = 23978   
 95/200   risk = 0.02  time = 25318   
100/200   risk = 0.02  time = 26739   
105/200   risk = 0.02  time = 28116   
110/200   risk = 0.02  time = 29450   
115/200   risk = 0.02  time = 30938   
120/200   risk = 0.02  time = 32271   
125/200   risk = 0.02  time = 33605   
130/200   risk = 0.02  time = 34951   
135/200   risk = 0.02  time = 36298   
140/200   risk = 0.02  time = 37650   
145/200   risk = 0.02  time = 38996   
150/200   risk = 0.02  time = 40353   
155/200   risk = 0.02  time = 41650   
160/200   risk = 0.02  time = 42963   
165/200   risk = 0.02  time = 44277   
170/200   risk = 0.02  time = 45611   
175/200   risk = 0.02  time = 46967   
180/200   risk = 0.02  time = 48318   
185/200   risk = 0.02  time = 49674   
190/200   risk = 0.02  time = 51076   
195/200   risk = 0.02  time = 52411   
200/200   risk = 0.02  time = 53729   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11823]
### [bt]: Calculation finished!
