### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11873]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11873 (seed = 43288) ...
  1/200   risk = 0.075  time = 0   
  5/200   risk = 0.059  time = 290   
 10/200   risk = 0.045  time = 614   
 15/200   risk = 0.036  time = 851   
 20/200   risk = 0.03  time = 1091   
 25/200   risk = 0.027  time = 1360   
 30/200   risk = 0.024  time = 1644   
 35/200   risk = 0.023  time = 1906   
 40/200   risk = 0.022  time = 2218   
 45/200   risk = 0.021  time = 2546   
 50/200   risk = 0.021  time = 2903   
 55/200   risk = 0.021  time = 3174   
 60/200   risk = 0.021  time = 3462   
 65/200   risk = 0.02  time = 3751   
 70/200   risk = 0.02  time = 4005   
 75/200   risk = 0.02  time = 4287   
 80/200   risk = 0.02  time = 4627   
 85/200   risk = 0.02  time = 4889   
 90/200   risk = 0.02  time = 5136   
 95/200   risk = 0.02  time = 5383   
100/200   risk = 0.02  time = 5632   
105/200   risk = 0.02  time = 5882   
110/200   risk = 0.02  time = 6133   
115/200   risk = 0.02  time = 6386   
120/200   risk = 0.02  time = 6641   
125/200   risk = 0.02  time = 6899   
130/200   risk = 0.02  time = 7179   
135/200   risk = 0.02  time = 7432   
140/200   risk = 0.02  time = 7682   
145/200   risk = 0.02  time = 7947   
150/200   risk = 0.02  time = 8198   
155/200   risk = 0.02  time = 8454   
160/200   risk = 0.02  time = 8704   
165/200   risk = 0.02  time = 9010   
170/200   risk = 0.02  time = 9343   
175/200   risk = 0.02  time = 9609   
180/200   risk = 0.02  time = 9863   
185/200   risk = 0.02  time = 10121   
190/200   risk = 0.02  time = 10376   
195/200   risk = 0.02  time = 10638   
200/200   risk = 0.02  time = 10900   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11873]
### [bt]: Calculation finished!
