### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3611]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3611 (seed = 35026) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.2  time = 346   
 10/200   risk = 0.15  time = 709   
 15/200   risk = 0.11  time = 1030   
 20/200   risk = 0.088  time = 1354   
 25/200   risk = 0.072  time = 1678   
 30/200   risk = 0.061  time = 2004   
 35/200   risk = 0.054  time = 2333   
 40/200   risk = 0.048  time = 2660   
 45/200   risk = 0.044  time = 2990   
 50/200   risk = 0.041  time = 3319   
 55/200   risk = 0.039  time = 3655   
 60/200   risk = 0.037  time = 4009   
 65/200   risk = 0.036  time = 4356   
 70/200   risk = 0.034  time = 4683   
 75/200   risk = 0.033  time = 5027   
 80/200   risk = 0.033  time = 5371   
 85/200   risk = 0.032  time = 5713   
 90/200   risk = 0.031  time = 6069   
 95/200   risk = 0.031  time = 6385   
100/200   risk = 0.03  time = 6716   
105/200   risk = 0.03  time = 7047   
110/200   risk = 0.029  time = 7355   
115/200   risk = 0.029  time = 7691   
120/200   risk = 0.028  time = 7991   
125/200   risk = 0.028  time = 8321   
130/200   risk = 0.028  time = 8663   
135/200   risk = 0.028  time = 9002   
140/200   risk = 0.027  time = 9340   
145/200   risk = 0.027  time = 9693   
150/200   risk = 0.027  time = 10026   
155/200   risk = 0.027  time = 10366   
160/200   risk = 0.027  time = 10711   
165/200   risk = 0.026  time = 11058   
170/200   risk = 0.026  time = 11405   
175/200   risk = 0.026  time = 11748   
180/200   risk = 0.026  time = 12093   
185/200   risk = 0.026  time = 12464   
190/200   risk = 0.026  time = 12834   
195/200   risk = 0.026  time = 13188   
200/200   risk = 0.025  time = 13520   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.025


### [bt]: Job terminated successfully [batchtools job.id=3611]
### [bt]: Calculation finished!
