### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6205]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6205 (seed = 37620) ...
  1/200   risk = 0.23  time = 0   
  5/200   risk = 0.17  time = 2330   
 10/200   risk = 0.12  time = 5206   
 15/200   risk = 0.082  time = 8243   
 20/200   risk = 0.062  time = 11344   
 25/200   risk = 0.049  time = 14267   
 30/200   risk = 0.04  time = 17339   
 35/200   risk = 0.035  time = 20450   
 40/200   risk = 0.032  time = 23591   
 45/200   risk = 0.03  time = 26716   
 50/200   risk = 0.028  time = 30049   
 55/200   risk = 0.027  time = 33452   
 60/200   risk = 0.026  time = 36681   
 65/200   risk = 0.026  time = 39938   
 70/200   risk = 0.026  time = 43285   
 75/200   risk = 0.025  time = 46712   
 80/200   risk = 0.025  time = 50552   
 85/200   risk = 0.025  time = 53586   
 90/200   risk = 0.025  time = 56965   
 95/200   risk = 0.024  time = 60050   
100/200   risk = 0.024  time = 62879   
105/200   risk = 0.024  time = 65549   
110/200   risk = 0.024  time = 68381   
115/200   risk = 0.024  time = 71228   
120/200   risk = 0.024  time = 73845   
125/200   risk = 0.024  time = 76758   
130/200   risk = 0.023  time = 79661   
135/200   risk = 0.023  time = 82457   
140/200   risk = 0.023  time = 85202   
145/200   risk = 0.023  time = 87989   
150/200   risk = 0.023  time = 90885   
155/200   risk = 0.023  time = 93617   
160/200   risk = 0.023  time = 96293   
165/200   risk = 0.023  time = 98893   
170/200   risk = 0.023  time = 100867   
175/200   risk = 0.023  time = 102540   
180/200   risk = 0.023  time = 104146   
185/200   risk = 0.022  time = 105739   
190/200   risk = 0.022  time = 107325   
195/200   risk = 0.022  time = 108915   
200/200   risk = 0.022  time = 110538   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=6205]
### [bt]: Calculation finished!
