### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12018]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12018 (seed = 43433) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.14  time = 204   
 10/200   risk = 0.092  time = 380   
 15/200   risk = 0.064  time = 543   
 20/200   risk = 0.047  time = 705   
 25/200   risk = 0.036  time = 872   
 30/200   risk = 0.03  time = 1037   
 35/200   risk = 0.026  time = 1201   
 40/200   risk = 0.023  time = 1370   
 45/200   risk = 0.022  time = 1542   
 50/200   risk = 0.021  time = 1718   
 55/200   risk = 0.02  time = 1882   
 60/200   risk = 0.02  time = 2049   
 65/200   risk = 0.02  time = 2236   
 70/200   risk = 0.019  time = 2404   
 75/200   risk = 0.019  time = 2567   
 80/200   risk = 0.019  time = 2747   
 85/200   risk = 0.019  time = 2921   
 90/200   risk = 0.019  time = 3091   
 95/200   risk = 0.019  time = 3266   
100/200   risk = 0.019  time = 3441   
105/200   risk = 0.019  time = 3627   
110/200   risk = 0.019  time = 3797   
115/200   risk = 0.019  time = 3968   
120/200   risk = 0.019  time = 4139   
125/200   risk = 0.019  time = 4310   
130/200   risk = 0.019  time = 4485   
135/200   risk = 0.019  time = 4666   
140/200   risk = 0.019  time = 4851   
145/200   risk = 0.019  time = 5027   
150/200   risk = 0.019  time = 5216   
155/200   risk = 0.019  time = 5451   
160/200   risk = 0.019  time = 5657   
165/200   risk = 0.019  time = 5872   
170/200   risk = 0.019  time = 6052   
175/200   risk = 0.019  time = 6236   
180/200   risk = 0.019  time = 6414   
185/200   risk = 0.019  time = 6606   
190/200   risk = 0.019  time = 6784   
195/200   risk = 0.019  time = 6958   
200/200   risk = 0.019  time = 7144   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.019


### [bt]: Job terminated successfully [batchtools job.id=12018]
### [bt]: Calculation finished!
