### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13499]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13499 (seed = 44914) ...
  1/200   risk = 0.09  time = 0   
  5/200   risk = 0.068  time = 279   
 10/200   risk = 0.051  time = 567   
 15/200   risk = 0.04  time = 797   
 20/200   risk = 0.033  time = 1026   
 25/200   risk = 0.029  time = 1256   
 30/200   risk = 0.027  time = 1514   
 35/200   risk = 0.025  time = 1755   
 40/200   risk = 0.024  time = 2010   
 45/200   risk = 0.023  time = 2267   
 50/200   risk = 0.023  time = 2512   
 55/200   risk = 0.022  time = 2756   
 60/200   risk = 0.022  time = 3001   
 65/200   risk = 0.022  time = 3253   
 70/200   risk = 0.022  time = 3527   
 75/200   risk = 0.022  time = 3779   
 80/200   risk = 0.022  time = 4032   
 85/200   risk = 0.021  time = 4287   
 90/200   risk = 0.021  time = 4543   
 95/200   risk = 0.021  time = 4799   
100/200   risk = 0.021  time = 5056   
105/200   risk = 0.021  time = 5325   
110/200   risk = 0.021  time = 5581   
115/200   risk = 0.021  time = 5838   
120/200   risk = 0.021  time = 6094   
125/200   risk = 0.021  time = 6363   
130/200   risk = 0.021  time = 6629   
135/200   risk = 0.021  time = 6897   
140/200   risk = 0.021  time = 7157   
145/200   risk = 0.021  time = 7425   
150/200   risk = 0.021  time = 7686   
155/200   risk = 0.021  time = 7949   
160/200   risk = 0.021  time = 8215   
165/200   risk = 0.021  time = 8483   
170/200   risk = 0.021  time = 8751   
175/200   risk = 0.021  time = 9019   
180/200   risk = 0.021  time = 9285   
185/200   risk = 0.021  time = 9553   
190/200   risk = 0.021  time = 9822   
195/200   risk = 0.021  time = 10088   
200/200   risk = 0.021  time = 10367   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=13499]
### [bt]: Calculation finished!
